experiment,snippet_id,primary_layer,top_level_category,primary_category,downstream_failed_layers,downstream_causal_status,evidence,classification_payload
exp1,3c49cad1_timeseries_gain,L2,standard behavioural mismatch,missing one or more steps,,none,"❌ L2 equivalence timeseries_gain: MISMATCH — before_scores=(0, 0), gen_scores=(1, 1)","equivalence : mismatch — before_scores=(0, 0), gen_scores=(1, 1)"
exp1,4bb33aa8_trx_stats_isin,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_trx_stats_isin: SyntaxError: generated code for trx_stats_isin is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized
exp1,73a39d90_metrics_groupby_agg,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_metrics_groupby_agg: InvalidOperationError: conversion from `str` to `f64` failed in column 'condition' for 2 out of 2 values: [""plaintext"", ""mixed""]","smoke : invalidoperationerror: conversion from `str` to `f64` failed in column 'condition' for 2 out of 2 values: [""plaintext"", ""mixed""]"
exp1,8017f91b_eval_hybrid_concat_sort,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence eval_hybrid_concat_sort: MISMATCH — column sets differ (before-only={'index'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'index'}, gen-only=set())"
exp1,8017f91b_input_loc_index_item,L2,standard behavioural mismatch,return-type mismatch,L3,causal review required,"❌ L2 equivalence input_loc_index_item: MISMATCH — before=101, gen=None","equivalence : mismatch — before=101, gen=none"
exp1,8017f91b_pairwise_cosine_loc,L2,standard behavioural mismatch,index or datetime contract mismatch,,none,"❌ L2 equivalence pairwise_cosine_loc: MISMATCH - before={'col_embedding': array([0.4, 0.5, 0.6]), 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': array([0.1, 0.2, 0.3])}, gen={'col_embedding': 102, 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': 101}","equivalence : mismatch - before={'col_embedding': array([0.4, 0.5, 0.6]), 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': array([0.1, 0.2, 0.3])}, gen={'col_embedding': 102, 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': 101}"
exp1,8017f91b_pairwise_loc_filter,L2,standard behavioural mismatch,index or datetime contract mismatch,,none,"❌ L2 equivalence pairwise_loc_filter: MISMATCH - before=(['paper_A', 'paper_B'], ['paper_C']), gen=((['paper_A', 'paper_B'],), (['paper_C'],))","equivalence : mismatch - before=(['paper_a', 'paper_b'], ['paper_c']), gen=((['paper_a', 'paper_b'],), (['paper_c'],))"
exp1,8017f91b_precompute_cross_join,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,"❌ L2 equivalence precompute_cross_join: MISMATCH — DataFrames are different (value mismatch for column ""document_id"")","equivalence : mismatch — dataframes are different (value mismatch for column ""document_id"")"
exp1,83c12695_collect_pivot,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_collect_pivot: ComputeError: UDF failed: Series.mean() got an unexpected keyword argument 'axis',smoke : computeerror: udf failed: series.mean() got an unexpected keyword argument 'axis'
exp1,8c71f3c7_attr_getter_unseen_frame,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_attr_getter_unseen_frame: TypeError: unexpected value while building Series of type Int64; found value of type Float64: 0.9,smoke : typeerror: unexpected value while building series of type int64; found value of type float64: 0.9
exp1,8c71f3c7_hybrid_scorer_citation_index,L2,standard behavioural mismatch,index or datetime contract mismatch,,none,"❌ L2 equivalence hybrid_scorer_citation_index: MISMATCH — before=[101, 205, 309], generated=[0, 1, 2]","equivalence : mismatch — before=[101, 205, 309], generated=[0, 1, 2]"
exp1,8c71f3c7_hybrid_scorer_language_index,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_hybrid_scorer_language_index: SyntaxError: generated code for hybrid_scorer_language_index is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized
exp1,8c71f3c7_input_converter_index,L2,standard behavioural mismatch,missing one or more steps,,none,"❌ L2 equivalence input_converter_index: MISMATCH — before=101, generated=None","equivalence : mismatch — before=101, generated=none"
exp1,8c71f3c7_model_choice_load,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_model_choice_load: AttributeError: module 'polars' has no attribute 'read_pickle',smoke : attributeerror: module 'polars' has no attribute 'read_pickle'
exp1,8c71f3c7_pairwise_loc_colname,L2,standard behavioural mismatch,index or datetime contract mismatch,L3,causal review required,"❌ L2 equivalence pairwise_loc_colname captured locals: MISMATCH — before=('paper_A', 'paper_B'), gen=(['paper_A'], ['paper_B'])","equivalence captured locals: mismatch — before=('paper_a', 'paper_b'), gen=(['paper_a'], ['paper_b'])"
exp1,8c71f3c7_pairwise_loc_item,L2,standard behavioural mismatch,index or datetime contract mismatch,,none,"❌ L2 equivalence pairwise_loc_item captured locals: MISMATCH — before=(0.1, 0.2), gen=(101, 102)","equivalence captured locals: mismatch — before=(0.1, 0.2), gen=(101, 102)"
exp1,99aff9e0_rename_columns_empty_df,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence rename_columns_empty_df: MISMATCH — column sets differ (before-only={'start_1', 'chrom_1', 'end_1'}, gen-only={'chrom', 'end', 'start'})","equivalence : mismatch — column sets differ (before-only={'start_1', 'chrom_1', 'end_1'}, gen-only={'chrom', 'end', 'start'})"
exp1,a39f4527_expose_trx_join_filter,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_expose_trx_join_filter: InvalidOperationError: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)","smoke : invalidoperationerror: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)"
exp1,a39f4527_expose_trx_pivot,L2,standard behavioural mismatch,return-type mismatch,L3,causal review required,"❌ L2 equivalence expose_trx_pivot: MISMATCH — one side returned DataFrame, other did not","equivalence : mismatch — one side returned dataframe, other did not"
exp1,a39f4527_expose_trx_unique,L2,standard behavioural mismatch,return-type mismatch,L3,causal review required,"❌ L2 equivalence expose_trx_unique return contract: MISMATCH — before=list, gen=DataFrame","equivalence return contract: mismatch — before=list, gen=dataframe"
exp1,a52cebfe_measured_data_pivot_join,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence measured_data_pivot_join labels and values: MISMATCH — column sets differ (before-only={'row'}, gen-only=set())","equivalence labels and values: mismatch — column sets differ (before-only={'row'}, gen-only=set())"
exp1,a52cebfe_rft_concat_write,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge rft_concat_write frame: MISMATCH — column sets differ (before-only={'Iteration', 'Well', 'Ensemble'}, gen-only=set()) | ❌ L3 edge rft_concat_write CSV contents: MISMATCH — before='Realization,Well,Ensemble,Iteration,value\n1,W1,E1,1,5.0\n2,W1,E1,1,6.0\n', gen='Realization,value\n1,5.0\n2,6.0\n'","edge frame: mismatch — column sets differ (before-only={'iteration', 'well', 'ensemble'}, gen-only=set()) | edge csv contents: mismatch — before='realization,well,ensemble,iteration,value\n1,w1,e1,1,5.0\n2,w1,e1,1,6.0\n', gen='realization,value\n1,5.0\n2,6.0\n'"
exp1,a52cebfe_rft_obs_join,L1,execution failure,type or runtime error,L2,causal review required,❌ L1 smoke gen_rft_obs_join: ShapeError: could not create a new DataFrame: height of column 'Pressure' (1) does not match height of column 'TVD' (3),smoke : shapeerror: could not create a new dataframe: height of column 'pressure' (1) does not match height of column 'tvd' (3)
exp1,a841955a_summarise_unmapped,L1,execution failure,type or runtime error,L2,causal review required,"❌ L1 smoke gen_summarise_unmapped: KeyError: '\'s1\'\n\nThis error occurred in the following expression:\n\tcol(""samples"").python_udf()\n'","smoke : keyerror: '\'s1\'\n\nthis error occurred in the following expression:\n\tcol(""samples"").python_udf()\n'"
exp1,acryo_molecules_subset_migration,L1,execution failure,invalid target API usage,L2,causal review required,❌ L1 smoke gen_acryo_molecules_subset_migration: AttributeError: 'list' object has no attribute 'start',smoke : attributeerror: 'list' object has no attribute 'start'
exp1,adjacency_create_matrix_loop,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_adjacency_create_matrix_loop: DuplicateError: column with name 'index' has more than one occurrence,smoke : duplicateerror: column with name 'index' has more than one occurrence
exp1,bbe5d7e5_create_data_frame,L3,edge-case failure,null- or missing-value handling,,none,❌ L3 edge create_data_frame schema/null/category checks: AssertionError:,edge schema/null/category checks: assertionerror:
exp1,db5fc12b_expose_date_str,L3,edge-case failure,dtype-sensitive behaviour,,none,"❌ L3 edge expose_date_str date objects: SchemaError: invalid series dtype: expected `String`, got `date` for series with name ``","edge date objects: schemaerror: invalid series dtype: expected `string`, got `date` for series with name ``"
exp1,dcff23d0_filter_concat_all,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_filter_concat_all: ValueError: Series only supports 'vertical' concat strategy,smoke : valueerror: series only supports 'vertical' concat strategy
exp1,e8fa7691_design_matrix_model,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence design_matrix_model: MISMATCH — before={'rows': [['1', '10'], ['2', '20'], ['3', '30']], 'headers': ['run_a', 'run_b', 'run_c']}, gen={'rows': [['1', '10', 'run_a'], ['2', '20', 'run_b'], ['3', '30', 'run_c']], 'headers': ['0', '1', '2']}","equivalence : mismatch — before={'rows': [['1', '10'], ['2', '20'], ['3', '30']], 'headers': ['run_a', 'run_b', 'run_c']}, gen={'rows': [['1', '10', 'run_a'], ['2', '20', 'run_b'], ['3', '30', 'run_c']], 'headers': ['0', '1', '2']}"
exp1,ed3b46c0_base_pattern_iloc,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_base_pattern_iloc: KeyError: ""None of [Index([0, 1, 2], dtype='int64')] are in the [columns]""","smoke : keyerror: ""none of [index([0, 1, 2], dtype='int64')] are in the [columns]"""
exp1,ed3b46c0_base_pattern_pred_concat,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,"❌ L2 equivalence base_pattern_pred_concat: MISMATCH — DataFrames are different (value mismatch for column ""y"")","equivalence : mismatch — dataframes are different (value mismatch for column ""y"")"
exp1,ed3b46c0_classification_pred_concat,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_classification_pred_concat: UnboundLocalError: cannot access local variable 'base_df' where it is not associated with a value,smoke : unboundlocalerror: cannot access local variable 'base_df' where it is not associated with a value
exp1,efc0581f_ident_explode_cells,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge ident_explode_cells malformed delimiter: MISMATCH - before returned DataFrame, generated raised ComputeError: get index is out of bounds","edge malformed delimiter: mismatch - before returned dataframe, generated raised computeerror: get index is out of bounds"
exp1,efc0581f_tesseract_nan_none,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_tesseract_nan_none: AttributeError: 'dict' object has no attribute 'with_columns',smoke : attributeerror: 'dict' object has no attribute 'with_columns'
exp1,img2table_cells_vertical_deduplication_migration,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_img2table_cells_vertical_deduplication_migration: TypeError: Col.__call__() missing 1 required positional argument: 'name',smoke : typeerror: col.__call__() missing 1 required positional argument: 'name'
exp1,img2table_lines_intersection_formula_migration,L2,execution failure,lazy/eager misuse,L3,causal review required,❌ L2 equivalence img2table_lines_intersection_formula_migration: MISMATCH - generated returned an unresolved Polars Expr,equivalence : mismatch - generated returned an unresolved polars expr
exp1,marimo_chdb_cursor_rows,L1,execution failure,type or runtime error,L2,causal review required,"❌ L1 smoke gen_marimo_chdb_cursor_rows: TypeError: unexpected value while building Series of type Int64; found value of type String: ""alpha""","smoke : typeerror: unexpected value while building series of type int64; found value of type string: ""alpha"""
exp1,medmodels_propensity_score_prop_score_migration,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence medmodels_propensity_score_prop_score_migration: MISMATCH — column sets differ (before-only=set(), gen-only={'bmi', 'age', 'gender'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'bmi', 'age', 'gender'})"
exp1,pheval_parse_hgnc_data,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_pheval_parse_hgnc_data: TypeError: `schema_overrides` should be of type list or dict,smoke : typeerror: `schema_overrides` should be of type list or dict
exp1,portfolio_momentum_roc,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence portfolio_momentum_roc: MISMATCH — column sets differ (before-only={'ROC'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'roc'}, gen-only=set())"
exp1,quant_backtester_calculate_returns_migration,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence quant_backtester_calculate_returns_migration: MISMATCH — column sets differ (before-only={'index'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'index'}, gen-only=set())"
exp1,quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration: ColumnNotFoundError: unable to find column ""Date""; valid columns: [""index"", ""Close_1""]","smoke : columnnotfounderror: unable to find column ""date""; valid columns: [""index"", ""close_1""]"
exp1,readnext_hybrid_score_compare_scores_migration,L2,standard behavioural mismatch,helper input-type mismatch,L3,causal review required,"❌ L2 equivalence readnext_hybrid_score_compare_scores_migration: setup error — TypeError: expected pandas DataFrame or Series, got 'DataFrame'","equivalence : setup error — typeerror: expected pandas dataframe or series, got 'dataframe'"
exp1,ultralytics_wb_custom_table,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_ultralytics_wb_custom_table: AttributeError: 'DataFrame' object has no attribute 'round',smoke : attributeerror: 'dataframe' object has no attribute 'round'
exp1,visivo_sqlalchemy_read_sql,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_visivo_sqlalchemy_read_sql: UnboundLocalError: cannot access local variable 'query' where it is not associated with a value,smoke : unboundlocalerror: cannot access local variable 'query' where it is not associated with a value
