snippet_id,gold_detected_pandas_apis
a841955a_summarise_unmapped,"pandas.DataFrame.set_index,pandas.DataFrame.to_dict,pandas.Series.apply,pandas.read_csv"
d90ed416_ibis_filter,"pandas.Series.to_list,pandas.read_csv"
d90ed416_ibis_isin,"pandas.Series.isin,pandas.read_csv"
d90ed416_ibis_join,"pandas.read_csv,
pandas.DataFrame.set_index,
pandas.DataFrame.join,
pandas.DataFrame.apply"
adjacency_create_matrix_loop,"pandas.DataFrame.index,
pandas.DataFrame.loc,
pandas.Series.iloc"
adjacency_read_file_to_polars,pandas.DataFrame.set_index
774f17e7_mane_transcript_filter_row,"pandas.DataFrame.empty,
pandas.DataFrame.loc,
pandas.DataFrame.sort_values,
pandas.DataFrame.iloc"
774f17e7_mane_transcript_parse_ac,"pandas.Series.apply,
pandas.DataFrame.sort_values"
774f17e7_mane_mappings_filter_symbol,"pandas.DataFrame.loc,pandas.DataFrame.sort_values,pandas.DataFrame.to_dict"
774f17e7_mane_mappings_genomic_filter,"pandas.Series.astype, 
pandas.DataFrame.sort_values,
pandas.DataFrame.to_dict"
774f17e7_mane_mappings_isin,"pandas.DataFrame.to_dict,pandas.Series.isin"
774f17e7_mane_mappings_load,pandas.read_csv
774f17e7_uta_database_construct,"pandas.DataFrame,pandas.DataFrame.drop_duplicates"
quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration,pandas.DataFrame
quant_backtester_calculate_returns_migration,"pandas.DataFrame,
pandas.DataFrame.index,
pandas.DataFrame.columns,
pandas.Series.pct_change,
pandas.Series.shift,
pandas.Series.replace,
pandas.Series.fillna,
pandas.Series.cumprod"
quant_backtester_performance_metrics_migration,"pandas.Series.iloc,
pandas.Series.mean,
pandas.Series.std,
pandas.Series.cummax,
pandas.Series.min"
b36214f9_preprocess_attrs_registry,pandas.DataFrame.attrs
b36214f9_preprocess_columns_tolist,"pandas.DataFrame,
pandas.DataFrame.columns,
pandas.Index.to_list,
pandas.isna"
b36214f9_preprocess_shape_rename,"pandas.DataFrame,
pandas.DataFrame.shape,
pandas.DataFrame.copy,
pandas.DataFrame.columns,
pandas.DataFrame.attrs"
b36214f9_session_dropna_unique,"pandas.Series.dropna,pandas.Series.unique"
b36214f9_session_read_csv,"pandas.read_csv,pandas.DataFrame.columns,pandas.DataFrame.empty,pandas.Series.dropna,pandas.Series.unique"
vnc_cmatrix_loc_filter_item,"pandas.DataFrame.loc,
pandas.Series.values,
pandas.DataFrame.copy,
pandas.Series.isin,
pandas.Series.to_list"
vnc_cmatrix_lookup_init,"pandas.DataFrame.copy,
pandas.Series.values, 
pandas.DataFrame.drop,
pandas.Series.isin "
vnc_cmatrix_reindex,"pandas.DataFrame.sort_values,
pandas.DataFrame.dropna"
vnc_cmatrix_sort_tolist,"pandas.DataFrame.sort_values,
pandas.Series.to_list"
vnc_cmatrix_uid_to_index,"pandas.DataFrame.loc,
pandas.Series.values,
pandas.isna"
scoring_compare_methylation_pattern_migration,"pandas.DataFrame.groupby,
DataFrameGroupBy.agg,
pandas.DataFrame.reset_index,
pandas.NamedAgg,
pandas.Series.isna"
scoring_compare_methylation_pattern_multiprocessed_migration,"pandas.DataFrame,
pandas.DataFrame.rename,
pandas.concat"
scoring_define_mean_methylation_thresholds_migration,pandas.Series.astype
scoring_process_bin_contig_merge_migration,"pandas.Series.sum,pandas.merge"
1e52b4e7_concat_to_frame,pandas.concat
1ec015da_to_rank,"pandas.DataFrame,
pandas.DataFrame.set_index,
pandas.DataFrame.sort_values"
29097c0c_train_iloc_filter,"pandas.DataFrame,pandas.DataFrame.iloc,pandas.DataFrame.set_index,pandas.Series.rename,pandas.Series.index,pandas.merge,pandas.concat"
29097c0c_train_merge_concat,"pandas.DataFrame,
pandas.DataFrame.index,
pandas.DataFrame.set_index,
pandas.DataFrame.rename,
pandas.merge,
pandas.concat"
29097c0c_to_dataset_read_wrap,"pandas.DataFrame.columns,pandas.DataFrame.fillna,pandas.Series.apply,pandas.read_csv"
7e55b00b_sample_empty_df,"pandas.DataFrame,
pandas.DataFrame.columns,
pandas.DataFrame.sample"
dcff23d0_filter_concat_all,"pandas.concat,
pandas.DataFrame.all,
pandas.DataFrame.loc"
e3227f4f_split_empty_df,"pandas.DataFrame,
pandas.DataFrame.columns"
ed3b46c0_base_pattern_iloc,"pandas.DataFrame.iloc,
pandas.Series.iloc ,
pandas.Series.to_numpy"
ed3b46c0_base_pattern_pred_concat,"pandas.DataFrame,
pandas.Series.index,
pandas.DataFrame.set_index,
pandas.concat,
pandas.Series.rename,
pandas.merge"
ed3b46c0_classification_iloc,"pandas.DataFrame.iloc,
pandas.Series.iloc,
pandas.Series.to_numpy"
ed3b46c0_classification_pred_concat,"pandas.DataFrame,
pandas.Series.index,
pandas.DataFrame.set_index,
pandas.merge,
pandas.concat,
pandas.Series.to_numpy"
f11c29ae_dataset_df_clone,"pandas.DataFrame,
pandas.DataFrame.copy,
pandas.DataFrame.columns,
pandas.Index.to_list"
f11c29ae_dataset_loc_select,"pandas.DataFrame,
pandas.DataFrame.loc,
pandas.DataFrame.copy"
f11c29ae_dataset_save_load,"pandas.DataFrame.to_csv,pandas.read_csv"
f11c29ae_dataset_to_pandas,"pandas.DataFrame,pandas.DataFrame.copy"
99aff9e0_rename_columns_empty_df,"pandas.DataFrame,pandas.DataFrame.columns"
0ffdf231_noaa_ghcn_inventory,pandas.read_fwf
0ffdf231_noaa_ghcn_stations,pandas.read_fwf
3c49cad1_bench_interp_cols,pandas.Series.to_list
3c49cad1_bench_interp_filter,"pandas.Series.astype,
pandas.Series.values"
3c49cad1_bench_interp_time_regular,"pandas.DataFrame.dropna,pandas.Series.to_list"
3c49cad1_bench_interp_time_rmse,"pandas.Series,
pandas.Series.reset_index,
pandas.Series.dropna,
pandas.Series.size,
pandas.Series.sum"
3c49cad1_bench_precip_pct,
3c49cad1_bench_precip_regular,"pandas.DataFrame.dropna,
pandas.Series.to_list"
3c49cad1_timeseries_extract,"pandas.DataFrame.loc,
pandas.Series.name,
pandas.Series.values"
3c49cad1_timeseries_gain,"pandas.DataFrame,
pandas.Series,
pandas.DataFrame.apply,
pandas.Series.dropna,
pandas.Series.size,
pandas.Series.sum,
pandas.DataFrame.loc,
pandas.Series.name,
pandas.Series.values"
3c49cad1_mosmix_access_dataframe,pandas.DataFrame.from_dict
3c49cad1_mosmix_access_datetime,"pandas.DatetimeIndex,pandas.Timestamp"
3c49cad1_radar_index_radolan,"pandas.Series.str.contains,
pandas.Series.str.endswith,
pandas.DataFrame.copy"
3c49cad1_radar_index_sweeps,pandas.Series.str.endswith
3c49cad1_radar_sites_cols,"pandas.DataFrame.drop,
pandas.DataFrame.rename,
pandas.DataFrame.insert,
pandas.Series.values,
pandas.DataFrame.reset_index,
pandas.Series.apply"
3c49cad1_radar_sites_dicts,pandas.DataFrame.to_dict
3c49cad1_geosphere_all,"pandas.DataFrame.drop,pandas.DataFrame.rename,pandas.read_csv"
3c49cad1_geosphere_collect,"pandas.DataFrame,
pandas.DataFrame.pop,
pandas.Series.map,
pandas.Series.apply,
pandas.Series.explode,
pandas.Series,
pandas.DataFrame.explode,
pandas.Series.astype,
pandas.Series.repeat,
pandas.Series.values,
pandas.to_datetime"
cb25a1c5_wsv_pegel,pandas.read_json
a52cebfe_es_update_pivot_join,"pandas.DataFrame.merge,
pandas.Series.values"
a52cebfe_common_get_observations,
a52cebfe_rft_concat_write,"pandas.concat,
pandas.DataFrame.set_index,
pandas.DataFrame.iloc,
pandas.DataFrame.any,
pandas.DataFrame.loc,
pandas.DataFrame.to_csv"
a52cebfe_rft_obs_join,"pandas.DataFrame,pandas.concat"
e8fa7691_design_matrix_model,"pandas.DataFrame.columns,
pandas.DataFrame.index,
pandas.Index.astype,
pandas.Index.to_list,
pandas.DataFrame.iterrows,
pandas.DataFrame.at"
acryo_loader_corr_max_with_columns_migration,"pandas.DataFrame,pandas.concat"
acryo_loader_get_features_migration,pandas.DataFrame
acryo_loader_scores_with_columns_migration,pandas.DataFrame.copy
acryo_loader_update_features_migration,pandas.DataFrame
acryo_molecules_concat_migration,"pandas.DataFrame,pandas.concat"
acryo_molecules_from_csv_migration,"pandas.DataFrame,pandas.DataFrame.columns,pandas.DataFrame.iloc,pandas.read_csv"
acryo_molecules_rotation_copy_migration,pandas.DataFrame.copy
acryo_molecules_subset_migration,pandas.DataFrame.iloc
acryo_molecules_to_csv_migration,pandas.DataFrame.to_csv
acryo_molecules_to_dataframe_migration,"pandas.DataFrame,pandas.concat"
src_onemod_utils_parameters_create_params_migration,"pandas.DataFrame,pandas.DataFrame.index"
src_onemod_utils_parameters_get_params_migration,"pandas.DataFrame,
pandas.DataFrame.query,
pandas.DataFrame.drop,
pandas.DataFrame.items,
pandas.Series.item"
8017f91b_hybrid_score_concat,"pandas.Series.to_frame,
pandas.concat"
8017f91b_precompute_cross_join,"pandas.DataFrame,
pandas.DataFrame.index,
pandas.DataFrame.assign,
pandas.DataFrame.set_index"
8017f91b_embedder_frame,"pandas.Series,
pandas.Series.to_frame,
pandas.DataFrame.rename_axis"
8017f91b_eval_hybrid_concat_sort,"pandas.concat,
pandas.DataFrame.sort_values,
pandas.DataFrame.reset_index,
pandas.DataFrame.drop_duplicates"
8017f91b_eval_hybrid_load,pandas.DataFrame
8017f91b_io_parquet,"pandas.DataFrame,pandas.DataFrame.to_pickle,pandas.read_pickle"
8c71f3c7_citation_models_fillna,"pandas.DataFrame.assign,pandas.Series.fillna"
8c71f3c7_citation_models_rank,"pandas.DataFrame.assign,pandas.Series.rank"
8c71f3c7_pairwise_loc_colname,pandas.DataFrame.loc
8c71f3c7_pairwise_loc_item,"pandas.DataFrame.loc,pandas.Series.item"
readnext_hybrid_score_compare_scores_migration,"pandas.DataFrame,
pandas.Series.to_frame,
pandas.concat"
readnext_hybrid_score_to_frame_migration,pandas.DataFrame
8c71f3c7_hybrid_scorer_citation_index,"pandas.Index,
pandas.DataFrame.index"
8c71f3c7_hybrid_scorer_language_index,"pandas.Index,
pandas.Series.index"
8c71f3c7_precompute_df_construct,"pandas.DataFrame,
pandas.DataFrame.index"
8c71f3c7_attr_getter_unseen_frame,"pandas.DataFrame,pandas.DataFrame.rename_axis"
8c71f3c7_attr_getter_unseen_iter,
8c71f3c7_input_converter_index,"pandas.DataFrame.loc,
pandas.DataFrame.index,
pandas.Index.item"
8c71f3c7_input_converter_loc,pandas.DataFrame.loc
8c71f3c7_document_info_tolist,pandas.Series.to_list
8c71f3c7_embedder_frame,"pandas.DataFrame.rename_axis,pandas.Series,pandas.Series.to_frame"
8c71f3c7_model_choice_load,
8c71f3c7_s4_combine_load_concat_write,pandas.concat
8c71f3c7_s8_combine_load_concat_write,
8c71f3c7_hybrid_score_concat,pandas.concat
medmodels_classic_distance_covariates_select_migration,"pandas.DataFrame.columns,
pandas.DataFrame.to_numpy"
medmodels_classic_distance_match_migration,"pandas.DataFrame,pandas.DataFrame.astype,pandas.DataFrame.copy,pandas.DataFrame.empty,pandas.DataFrame.reset_index,pandas.DataFrame.transpose,pandas.concat"
medmodels_propensity_score_prop_score_migration,"pandas.DataFrame.to_numpy,
pandas.DataFrame.pop"
medmodels_propensity_score_signature_migration,"pandas.DataFrame,pandas.Index"
medmodels_medrecord_process_edges_dataframe_migration,"pandas.DataFrame,
pandas.DataFrame.index,
pandas.MultiIndex,
pandas.MultiIndex.names"
medmodels_medrecord_process_nodes_dataframe_migration,"pandas.DataFrame.index,
pandas.Index.name"
marimo_chdb_cursor_rows,pandas.DataFrame
142b5bcb_tools_relocate,"pandas.DataFrame,
pandas.DataFrame.columns,
pandas.Index.isin"
16645382_exp_stats_col_assign,
16645382_exp_stats_rename,pandas.DataFrame.rename
287a28d8_col_ends_with,"pandas.DataFrame.columns,
pandas.Index.str.endswith"
287a28d8_col_matches,"pandas.DataFrame.columns,
pandas.Index.str.contains"
287a28d8_col_starts_with,"pandas.DataFrame,
pandas.DataFrame.columns,
pandas.Index.str.startswith"
325e7c2b_dates_pol_interval,"pandas.DataFrame,
pandas.Series.dt.days"
4bb33aa8_trx_stats_isin,"pandas.Series,
pandas.Series.isin,
pandas.DataFrame.columns"
6f1c2684_datasets_read_csv,pandas.read_csv
8bb7bc3a_expose_isin,
a39f4527_expose_trx_join_filter,"pandas.DataFrame.merge,
pandas.DataFrame.query"
a39f4527_expose_trx_left_join_fill,"pandas.DataFrame.merge,
pandas.DataFrame.columns,
pandas.DataFrame.loc,
pandas.DataFrame.apply,
pandas.Series.fillna"
a39f4527_expose_trx_pivot,"pandas.DataFrame.pivot_table,
pandas.DataFrame.reset_index,
pandas.DataFrame.columns,
pandas.MultiIndex.to_flat_index"
a39f4527_expose_trx_unique,"pandas.unique,
pandas.DataFrame.merge,
pandas.DataFrame.query,
pandas.DataFrame.pivot_table,
pandas.DataFrame.reset_index,
pandas.DataFrame.columns,
pandas.MultiIndex.to_flat_index,
pandas.DataFrame.loc,
pandas.DataFrame.apply,
pandas.Series.fillna"
bbe5d7e5_create_data_frame,"pandas.DataFrame,pandas.Series,pandas.to_datetime"
bbe5d7e5_datasets_read_csv,pandas.read_csv
db5fc12b_expose_date_str,pandas.to_datetime
db5fc12b_expose_rename,"pandas.DataFrame.columns,pandas.DataFrame.rename"
mexca_data_delete_filename_time_col_migration,"pandas.DataFrame,pandas.DataFrame.columns"
mexca_data_merge_audio_text_features_migration,"pandas.DataFrame,pandas.DataFrame.merge"
mexca_data_merge_features_migration,"pandas.DataFrame,pandas.DataFrame.insert,pandas.merge"
mexca_data_merge_video_annotation_migration,pandas.DataFrame
mexca_data_merge_voice_features_migration,pandas.DataFrame
pheval_gene_identifier_map,pandas.DataFrame.iterrows
pheval_parse_hgnc_data,pandas.read_csv
mpds_get_dataframe,pandas.DataFrame
73a39d90_experiment_df_construct,pandas.DataFrame
73a39d90_metrics_bootstrap_filter,pandas.Series.to_numpy
73a39d90_metrics_groupby_agg,"pandas.DataFrame.groupby,
SeriesGroupBy.agg,
pandas.DataFrame.rename,
pandas.DataFrame.astype,
pandas.DataFrame.loc"
73a39d90_metrics_groupby_partition,"pandas.DataFrame.groupby,
pandas.Series.mean,
pandas.Series.median,
pandas.Series.std,
pandas.Series.quantile,
pandas.DataFrame"
73a39d90_run_concat_write,"pandas.DataFrame.to_csv,pandas.concat"
73a39d90_run_dataframe_write,"pandas.DataFrame,pandas.DataFrame.to_csv"
ultralytics_trainer_read_csv,"pandas.DataFrame.to_dict,pandas.read_csv"
ultralytics_benchmarks_dataframe,pandas.DataFrame
ultralytics_benchmarks_metrics,"pandas.Series.array,
pandas.notna"
ultralytics_wb_custom_table,"pandas.DataFrame,pandas.DataFrame.round"
portfolio_stock_to_dict,
portfolio_momentum_roc,
portfolio_momentum_rsi,
portfolio_momentum_stoch_osc,
portfolio_momentum_stoch_rsi,
visivo_sqlalchemy_read_sql,pandas.DataFrame
img2table_cells_adjacent_redundant_migration,pandas.DataFrame.max
img2table_cells_clone_rename_migration,"pandas.DataFrame.copy,
pandas.DataFrame.columns"
img2table_cells_contained_migration,
img2table_cells_cross_join_filter_migration,"pandas.DataFrame.reset_index,
pandas.DataFrame.merge"
img2table_cells_intersection_area_migration,
img2table_cells_overlap_diff_migration,"pandas.Series.abs,
pandas.concat,
pandas.DataFrame.min"
img2table_cells_redundant_removal_migration,"pandas.Series.drop_duplicates,
pandas.Series.values,
pandas.DataFrame.drop"
img2table_cells_vertical_deduplication_migration,"pandas.DataFrame.sort_values,
pandas.DataFrame.groupby,
DataFrameGroupBy.cumcount"
img2table_cells_width_height_area_migration,
img2table_lines_cross_join_migration,pandas.DataFrame.merge
img2table_lines_df_lines_creation_migration,"pandas.DataFrame,pandas.DataFrame.columns,pandas.DataFrame.max,pandas.concat"
img2table_lines_filter_words_migration,pandas.Series.isna
img2table_lines_groupby_sum_migration,"pandas.DataFrame.groupby,
DataFrameGroupBy.agg,
pandas.DataFrame.reset_index"
img2table_lines_intersection_assignment_migration,pandas.Series.astype
img2table_lines_intersection_formula_migration,"pandas.Series.astype,
pandas.DataFrame.min,
pandas.DataFrame.max,
pandas.Series.clip"
img2table_lines_intersection_lines_filter_migration,pandas.Series.values
img2table_aws_textract_concat_lazy_migration,pandas.concat
img2table_aws_textract_list_dfs_migration,pandas.DataFrame
azure_ocr_concat_lazy,pandas.concat
azure_ocr_from_dicts,pandas.DataFrame
img2table_azure_concat_lazy_migration,pandas.concat
img2table_azure_list_dfs_migration,pandas.DataFrame
img2table_google_vision_concat_lazy_migration,pandas.concat
img2table_google_vision_list_dfs_migration,pandas.DataFrame
img2table_pdf_list_dfs_migration,"pandas.DataFrame,pandas.concat"
tesseract_ocr_concat_lazy,pandas.concat
tesseract_ocr_from_dicts,pandas.DataFrame
efc0581f_textract_concat_lazy,pandas.concat
efc0581f_textract_from_dicts,pandas.DataFrame
efc0581f_azure_concat_lazy,pandas.concat
efc0581f_azure_from_dicts,pandas.DataFrame
efc0581f_data_assign_bbox,"pandas.DataFrame.assign,
pandas.DataFrame.max,
pandas.DataFrame.min"
efc0581f_data_filter_page,
efc0581f_data_groupby_agg_text,"pandas.DataFrame.groupby,
DataFrameGroupBy.agg,
pandas.DataFrame.sort_values,
pandas.Series.astype,
pandas.Series.str.cat"
efc0581f_data_merge_cross,"pandas.Series.notnull,
pandas.DataFrame,
pandas.DataFrame.merge,
pandas.DataFrame.max,
pandas.DataFrame.min,
pandas.DataFrame.groupby,
DataFrameGroupBy.agg,
pandas.DataFrame.sort_values,
pandas.DataFrame.reset_index"
efc0581f_vision_concat_lazy,pandas.concat
efc0581f_vision_from_dicts,pandas.DataFrame
efc0581f_pdf_concat_lazy,
efc0581f_pdf_from_dicts,"pandas.DataFrame,pandas.concat"
efc0581f_tesseract_concat_lazy,pandas.concat
efc0581f_tesseract_from_dicts,pandas.DataFrame
efc0581f_tesseract_nan_none,
efc0581f_dedup_nested_cross_join,"pandas.DataFrame.reset_index,
pandas.DataFrame.merge"
efc0581f_dedup_redundant_filter,"pandas.Series.drop_duplicates,
pandas.Series.values,
pandas.DataFrame.drop"
efc0581f_dedup_vertical_sort_cumcount,"pandas.DataFrame.sort_values,
pandas.DataFrame.groupby,
DataFrameGroupBy.cumcount"
efc0581f_ident_explode_cells,"pandas.Series.notnull,
pandas.DataFrame.explode,
pandas.DataFrame.reset_index,
pandas.DataFrame,
pandas.Series.to_list,
pandas.DataFrame.index,
pandas.DataFrame.columns"
efc0581f_ident_from_dicts_cross,"pandas.DataFrame,
pandas.DataFrame.copy,
pandas.DataFrame.merge"
efc0581f_ident_with_columns_conditions,pandas.Series.abs
efc0581f_lines_filter_words,pandas.Series.isna
efc0581f_lines_from_dicts_lazy,"pandas.DataFrame,pandas.DataFrame.columns,pandas.DataFrame.max,pandas.concat"
efc0581f_lines_groupby_filter,"pandas.DataFrame.groupby,
DataFrameGroupBy.agg,
pandas.DataFrame.reset_index,
pandas.Series.values"
a52cebfe_es_update_scaling_factors,
a52cebfe_common_summary_filter,
a52cebfe_measured_data_pivot_join,
acryo_molecules_translation_copy_migration,
8017f91b_pairwise_cosine_loc,
8017f91b_pairwise_loc_filter,
8017f91b_hybrid_score_frame,
8017f91b_precompute_id_cross_frame,
8017f91b_input_loc_col,
8017f91b_input_loc_index_item,
8017f91b_model_data_lang_loc_filter,
8017f91b_model_data_loc_filter,
pheval_gene_updater_find_identifier,
pheval_gene_updater_find_symbol,
ultralytics_benchmarks_config,
portfolio_stock_from_pandas,
img2table_pdf_concat_lazy_migration,
