ordinal,snippet_id,shared_source_read,baseline_generated_read,exp1_generated_read,exp2_generated_read,exp3_generated_read,H1_variable_or_input_mismatch,H2_cross_library_fixture_type,H3_missing_outer_context,H4_side_effect_not_observed,H5_generated_only_L3,H6_empty_schema_problem,H7_join_suffix_artifact,H8_serialization_mismatch,H9_wrong_or_missing_observable,verdict,evidence,action
105,acryo_loader_corr_max_with_columns_migration,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only empty-input smoke block duplicated a later paired oracle comparison.","Remove the generated-only block and retain the paired feature-mutation test."
106,acryo_loader_get_features_migration,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only empty-input block was redundant with the following paired output comparison.","Remove the generated-only block and keep the paired schema-and-values test."
107,acryo_loader_scores_with_columns_migration,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only dictionary-update block did not compare the molecule mutation against the oracle.","Remove the unpaired block and retain the paired feature-mutation comparison."
108,acryo_loader_update_features_migration,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only alternate-column smoke block duplicated a complete paired comparison.","Remove the unpaired block and retain the paired alternate-column result check."
109,acryo_molecules_concat_migration,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only no-features block preceded a paired check of the same branch.","Remove the redundant block and keep the paired state comparison."
110,acryo_molecules_from_csv_migration,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only explicit-column block duplicated the later paired custom-column test.","Remove the generated-only block and retain the paired custom-column comparison."
111,acryo_molecules_rotation_copy_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete observable molecule state is compared for standard and no-feature copies.",none
112,acryo_molecules_subset_migration,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only no-features smoke block duplicated the paired state test.","Remove the unpaired block and retain the paired feature and position comparison."
113,acryo_molecules_to_csv_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,repair,"Output CSVs were written to fixed working-directory paths, allowing test artefacts to leak across notebook runs.","Use per-test temporary directories while comparing return contracts and complete CSV readbacks."
114,acryo_molecules_to_dataframe_migration,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only no-features block was redundant with the following paired frame comparison.","Remove the unpaired block and retain the complete paired observable."
115,acryo_molecules_translation_copy_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The complete molecule dataframe is compared for standard and explicit no-feature translation copies.",none
116,adjacency_create_matrix_loop,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The None return is not used as the sole oracle; sorter, flowpath, and network mutations are all compared.",none
117,adjacency_read_file_to_polars,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The reader stub returns library-native layers with matching id semantics and complete network outputs are compared.",none
118,azure_ocr_concat_lazy,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The before wrapper converts the shared Polars fixtures to pandas and both standard and typed-empty concatenations are compared.",none
119,azure_ocr_from_dicts,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The append side effect is explicitly observed by comparing the complete mutated lists for populated and initially empty cases.",none
120,b36214f9_preprocess_attrs_registry,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,evaluation_invalid,"The isolated wrapper exposes only get_original_column_name while the sibling preprocessing closure that creates its metadata mapping is inaccessible; testing fallback alone would cover only a fragment of the migration contract.","Re-extract both closures with shared state or exclude/disable this snippet; do not infer the missing mapping state in the harness."
121,b36214f9_preprocess_columns_tolist,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The returned closures are invoked with equivalent pandas and Polars column sets; shared empty-name behaviour and original-column order are observed.",none
122,b36214f9_preprocess_shape_rename,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The original empty-input block inspected the clean-column callback as though it were a DataFrame and ran only generated code.","Invoke both returned preprocessing closures on schema-bearing empty pandas and Polars frames and compare results."
123,b36214f9_session_dropna_unique,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent mapping inputs exercise null removal and uniqueness for standard and typed-empty cases.",none
124,b36214f9_session_read_csv,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both readers consume the same byte streams and the empty stream's None/output contract is compared.",none
125,bbe5d7e5_create_data_frame,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete values, columns, null count, date handling, and categorical schema are observed on both sides.",none
126,bbe5d7e5_datasets_read_csv,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,repair,"The header-only edge fixture used unrelated columns a,b although the oracle requires pol_num, status, issue_date, and term_date, causing the test input itself to fail.","Use a schema-valid header-only CSV containing the index and all required parse/dtype columns."
127,cb25a1c5_wsv_pegel,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Temporary JSON files isolate each run and complete lazy-frame outputs are compared for populated and empty responses.",none
