repo,sha,author,date_iso,subject,isolated_units,macro_groups,pandas_types_union,polars_types_union,is_tangled,changed_py_files
AroneyS/binchicken,caa7094a184c2d5abebb7327da697bc1410e0f07,AroneyS,2023-03-06T11:19:16+10:00,initial target_elusive switch to polars,1,Core dataframe transforms;Types & schema,DataFrame;Testing,Types & schema,False,test/test_target_elusive.py
ClickHouse/ClickBench,bd16ac32e11bdda674944610ec6e679254641676,ritchie,2024-11-26T08:26:51+01:00,remove pandas and fix all queries,1,IO boundary;Aggregation & joins;Core dataframe transforms;Types & schema,General functions;GroupBy;Input/output,Core dataframe transforms;Input/output;Types & schema,False,polars/query.py
GenomicMedLab/cool-seq-tool,774f17e7f286b83924de6f76b21933ecfe4a787e,Kori Kuzma,2023-10-13T17:17:57-04:00,build: replace pandas with polars (#178) (#205),4,IO boundary;Core dataframe transforms;Types & schema,DataFrame;Input/output;Other pandas API,Core dataframe transforms;Input/output;Other polars API;Types & schema,False,cool_seq_tool/mappers/mane_transcript.py;cool_seq_tool/sources/mane_transcript_mappings.py;cool_seq_tool/sources/uta_database.py;tests/mappers/test_mane_transcript.py
IBM/Hestia-GOOD,329f1e672847a3298cdf350df17ea631990494c0,RaulFD-creator,2025-03-10T10:52:46+00:00,_ Clustering accepts polars and converts to pandas,2,Core dataframe transforms,DataFrame,Other polars API,False,hestia/clustering.py;hestia/reduction.py
IBM/Hestia-GOOD,d61792da3b9bdc8abe5e76e1ac0d56ab6509522c,RaulFD-creator,2024-12-17T14:18:58+00:00,__ï¸ Optim: Substitutting `pandas` for `polars` (#82),1,IO boundary;Aggregation & joins;Core dataframe transforms;Types & schema,DataFrame;General functions;Input/output,Core dataframe transforms;Input/output;Types & schema,False,hestia/similarity.py
IBM/Hestia-GOOD,66d0385f5e189e68f9d623511eb9a1720b931c2e,RaulFD-creator,2024-12-17T14:14:33+00:00,__ï¸ Optim: Substitutting `pandas` for `polars`,1,IO boundary;Aggregation & joins;Core dataframe transforms;Types & schema,DataFrame;General functions;Input/output,Core dataframe transforms;Input/output;Types & schema,False,hestia/similarity.py
ImperialCollegeLondon/pycsvy,a83f31e7c7a4db8030a6a759bd65c5145cebf027,Daniel Cummins,2024-10-25T09:08:44+01:00,"Pass encoding to numpy, pandas and polars readers",1,IO boundary,Input/output,Input/output,False,csvy/readers.py
IsaacCheng9/quant-trading-strategy-backtester,92765db51afa9a4a4a94236e91ea202d5e1a726c,Isaac Cheng,2024-07-29T01:17:01+01:00,Refactor `test_strategy_templates.py` to use Polars instead of pandas,1,Aggregation & joins;Core dataframe transforms;Types & schema,DataFrame;General functions,Core dataframe transforms;Types & schema,False,tests/test_strategy_templates.py
IsaacCheng9/quant-trading-strategy-backtester,4cef06ed345678a3820f6106a060324c147d164e,Isaac Cheng,2024-07-29T00:43:44+01:00,Refactor `test_backtester.py` to use Polars instead of pandas,1,Aggregation & joins;Core dataframe transforms,DataFrame;General functions,Other polars API,False,tests/test_backtester.py
IsaacCheng9/quant-trading-strategy-backtester,e878845165cd8a23f4875d339900b0e34a4bff02,Isaac Cheng,2024-07-29T00:43:33+01:00,Refactor `test_optimiser.py` to use Polars instead of pandas,1,Core dataframe transforms,DataFrame,Core dataframe transforms,False,tests/test_optimiser.py
IsaacCheng9/quant-trading-strategy-backtester,88fc738244f52cf1c41131f4f2f42aa5f2c8e1e8,Isaac Cheng,2024-07-29T00:28:21+01:00,Fix tests for loading data to work with Polars refactor,1,Core dataframe transforms,DataFrame,Other polars API,False,tests/test_data.py
IsaacCheng9/quant-trading-strategy-backtester,61501324aeafe0060827230410996b3f0db1f324,Isaac Cheng,2024-07-29T00:27:24+01:00,Create separate mock data for pandas (`yfinance`) and Polars DataFrames,1,Core dataframe transforms,DataFrame,Other polars API,False,tests/conftest.py
IsaacCheng9/quant-trading-strategy-backtester,15a378d050e45a38d4a3d3bb54dbeeb9814b4844,Isaac Cheng,2024-07-28T02:41:25+01:00,"Add Buy and Hold strategy, refactor pandas to Polars",3,Core dataframe transforms,DataFrame,Core dataframe transforms;Other polars API,False,src/quant_trading_strategy_backtester/app.py;src/quant_trading_strategy_backtester/optimiser.py;src/quant_trading_strategy_backtester/strategy_templates.py
IsaacCheng9/quant-trading-strategy-backtester,96018e701ff8763efc97d6f97bca50a1c88466ca,Isaac Cheng,2024-07-28T02:40:34+01:00,Refactor `visualisation.py` to use Polars instead of pandas,1,Core dataframe transforms,DataFrame,Other polars API,False,src/quant_trading_strategy_backtester/visualisation.py
IsaacCheng9/quant-trading-strategy-backtester,e75a38b6ca43d5835df56dbc2b3fa5f88b1795bc,Isaac Cheng,2024-07-28T02:39:54+01:00,Refactor `backtester.py` to use Polars instead of pandas,1,Core dataframe transforms,DataFrame,Core dataframe transforms,False,src/quant_trading_strategy_backtester/backtester.py
IsaacCheng9/quant-trading-strategy-backtester,334c4e6972cb99f2e8fad0176233aeac8fcb59f2,Isaac Cheng,2024-07-28T02:36:26+01:00,Refactor `data.py` to use Polars instead of pandas,1,IO boundary;Core dataframe transforms,DataFrame;Input/output,Other polars API,False,src/quant_trading_strategy_backtester/data.py
JoseParrenoGarcia/Streamlit-caching-pandas-polars-benchmarks,c14c8c5825ebe9ecc580928e796cbc741ccfec1a,Jose ParreÃ±o Garcia,2024-08-12T07:16:26+02:00,"pandas, pandas st cached, polars",2,IO boundary;Core dataframe transforms,DataFrame;Input/output,Input/output;Other polars API,False,pages/join_operations.py;utils/aggregation_functions.py
JoseParrenoGarcia/Streamlit-caching-pandas-polars-benchmarks,65ca69b26ebcd1723850645fb3af73b47cc68be3,Jose ParreÃ±o Garcia,2024-08-11T13:54:47+02:00,adding polars,1,IO boundary;Aggregation & joins;Core dataframe transforms;Types & schema,General functions,Core dataframe transforms;Input/output;Types & schema,False,utils/functools_functions.py
JustinKurland/pytimetk,57c25b813d8c95d63be2835910cca31f8137e3d9,tguedon,2023-11-06T18:07:42+01:00,fixed error pandas==2.0.0,1,Core dataframe transforms;Types & schema,DataFrame,Types & schema,False,src/pytimetk/core/ts_summary.py
JustinKurland/pytimetk,bf02b665faa8fe70c5edd41ef935070c4e0de28d,tguedon,2023-11-02T23:30:08+01:00,ts_summary_polars_df working,1,Time series & window;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,DataFrame;Index objects;Series,Time series & window;Types & schema,False,src/pytimetk/core/ts_summary.py
JustinKurland/pytimetk,db2a069cca9e750a5aa7153d49c543bda4972754,tguedon,2023-10-29T22:12:41+01:00,updated ts_summary_polars to be a dummy function for now,1,Aggregation & joins,General functions,Other polars API,False,src/pytimetk/core/ts_summary.py
JustinKurland/pytimetk,7d4eed8be158d1b91b6b36f1817da385b5678abc,tguedon,2023-10-29T21:56:41+01:00,polars version for fourier v2 working,1,Core dataframe transforms,DataFrame,Other polars API,False,src/pytimetk/feature_engineering/fourier.py
JustinKurland/pytimetk,501491e9242f6fabde9bb2b3e97c94af9686fe6d,tguedon,2023-10-29T20:20:21+01:00,polars version for fourier v2 working for DataFrame only,2,Aggregation & joins;Core dataframe transforms,DataFrame;Series,DataFrame/GroupBy;Other polars API,False,src/pytimetk/feature_engineering/fourier.py;src/pytimetk/utils/checks.py
JustinKurland/pytimetk,441b4553d1868965f884cb05fc11138e4c129646,JB Kurland,2023-10-26T17:18:43-04:00,Update holiday_signature.py augment_holiday polars engine,1,Aggregation & joins;Core dataframe transforms;Types & schema,General functions,Core dataframe transforms;Types & schema,False,src/pytimetk/feature_engineering/holiday_signature.py
JustinKurland/pytimetk,71cf50866bb09ff10d20e5e8ac08975a39bdc347,JB Kurland,2023-10-24T20:03:45-04:00,Update pandas_helpers.py glimpse polars,1,Core dataframe transforms,DataFrame,Other polars API,False,src/pytimetk/utils/pandas_helpers.py
JustinKurland/pytimetk,20778261cca126c293512e831946200f41120a90,JB Kurland,2023-10-24T09:34:12-04:00,Update frequency.py time_scale_template - polars,1,Core dataframe transforms,DataFrame,Other polars API,False,src/pytimetk/core/frequency.py
JustinKurland/pytimetk,a559d16a2cfc68721af0583574fbf5790f920b25,JB Kurland,2023-10-24T06:55:04-04:00,Update frequency.py timeseries_unit_get_frequency polars,1,Core dataframe transforms,DataFrame,Other polars API,False,src/pytimetk/core/frequency.py
JustinKurland/pytimetk,c6327dd095798b384fb3017a448941b8e15aad79,Matt Dancho,2023-10-23T13:51:15-04:00,polars backend: fixes,1,Core dataframe transforms,Series,Other polars API,False,src/pytimetk/core/ts_summary.py
JustinKurland/pytimetk,c79ce6d9f9c1b93590bf5adbd4bb403cad930ffc,JB Kurland,2023-10-23T07:33:04-04:00,Update get_summary_date polars engine,1,Core dataframe transforms;Index & pandas-specific semantics,Index objects;Series,Other polars API,False,src/pytimetk/core/ts_summary.py
JustinKurland/pytimetk,191d9ed73e46898b0b7aed9cbe7fb6bd31f79d4a,JB Kurland,2023-10-22T20:13:17-04:00,Update is_holiday polars backend,1,Aggregation & joins;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,General functions;Index objects;Series,Types & schema,False,src/pytimetk/utils/datetime_helpers.py
JustinKurland/pytimetk,ef9b99ff9f30b7a7ff06a7a01a5a907fecb7df0e,JB Kurland,2023-10-22T10:04:58-04:00,Update `make_weekend_sequence`,1,Core dataframe transforms;Types & schema,DataFrame,Types & schema,False,src/pytimetk/core/make_timeseries_sequence.py
JustinKurland/pytimetk,fd58c3ace9a7804a1b339867137c882f72dd6a07,JB Kurland,2023-10-22T08:48:21-04:00,Update make_timeseries_sequence.py - polars weekday engine,1,Core dataframe transforms;Types & schema,DataFrame,Types & schema,False,src/pytimetk/core/make_timeseries_sequence.py
JustinKurland/pytimetk,e28d23a3bf0e0fba90afbf02eb7108dc5cccaee8,JB Kurland,2023-10-21T12:24:06-04:00,Update get_datasets.py add polars engine,1,IO boundary,Input/output,Input/output,False,src/pytimetk/datasets/get_datasets.py
JustinKurland/pytimetk,1bbf0cf7371d15d66aa26beaa9cf8bd863273a44,amr,2023-10-18T21:53:41-07:00,feat(augment_rolling): Add polars backend support,1,Core dataframe transforms;Types & schema,Other pandas API,Core dataframe transforms;Types & schema,False,src/pytimetk/core/rolling.py
JustinKurland/pytimetk,872c8846c978aa680afa74bce45eb25dfac72f7d,JB Kurland,2023-10-18T17:29:24-04:00,Update datetime_helpers.py,1,Core dataframe transforms,Series,Other polars API,False,src/pytimetk/utils/datetime_helpers.py
JustinKurland/pytimetk,58beafb43f2f3ab7fd7093fefcfb4ef728f3e739,JB Kurland,2023-10-16T11:27:23-04:00,Update datetime_helpers.py,1,Core dataframe transforms;Index & pandas-specific semantics,Index objects;Series,Other polars API,False,src/pytimetk/utils/datetime_helpers.py
JustinKurland/pytimetk,cd7c8e4608b76400aa31e4273eccb14f9f5047fc,Matt Dancho,2023-10-15T21:27:26-04:00,#113 consolidated code for polars and pandas engines,1,Aggregation & joins;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,DataFrame;General functions;Index objects;Options and settings;Series,Core dataframe transforms;Types & schema,False,src/pytimetk/core/timeseries_signature.py
JustinKurland/pytimetk,f840eba6f278cbef7cb35781450071e16ba3c999,JB Kurland,2023-10-15T14:23:38-04:00,Update timeseries_signature.py,1,Aggregation & joins;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,DataFrame;General functions;Index objects;Series,Core dataframe transforms;Types & schema,False,src/pytimetk/core/timeseries_signature.py
JustinKurland/pytimetk,8b76ac52bbe170c8ee3748bf9aefa55ab58aaf1f,amr,2023-10-14T09:54:56-07:00,Improve speed of Polars backend for augment_expanding function,1,Core dataframe transforms,DataFrame,Core dataframe transforms,False,src/pytimetk/core/expanding.py
JustinKurland/pytimetk,5334eccfbaed378f952c2d2e5ba1d03108f7971f,amr,2023-10-13T17:24:13-07:00,Add Polars backend support to augment_expanding function,1,Core dataframe transforms;Types & schema,Other pandas API,Core dataframe transforms;Types & schema,False,src/pytimetk/core/expanding.py
JustinKurland/pytimetk,a001eead54b7fe1b57d913eb276e67950330db82,JB Kurland,2023-10-13T08:44:59-04:00,Update leads.py,1,Core dataframe transforms,Other pandas API,Core dataframe transforms,False,src/pytimetk/core/leads.py
JustinKurland/pytimetk,5bbce994046d5615082a82a346ad20a085019d81,JB Kurland,2023-10-13T07:59:29-04:00,Update lags.py,1,Core dataframe transforms,Other pandas API,Core dataframe transforms,False,src/pytimetk/core/lags.py
Kanaries/pygwalker,d8581501a569798d216917ca7d5d7f69008506c7,0warning0error,2023-03-02T23:13:43+08:00,[Feat]: Support Polars DataFrame and make Pandas and Polars optional,1,Core dataframe transforms,DataFrame,Other polars API,False,pygwalker/gwalker.py
MTES-MCT/trackdechets-public-stats,290ae2067b67a30c36a50230bbaa95b7fbf95562,Luis Ventura,2023-02-16T11:43:45+01:00,Updates all code to use polars instead of pandas (#53),5,IO boundary;Aggregation & joins;Time series & window;Core dataframe transforms,DataFrame;General functions;GroupBy;Input/output;Series,Core dataframe transforms;Other polars API;Time series & window,False,src/data/data_extract.py;src/data/data_processing.py;src/data/datasets.py;src/pages/advanced_statistics/utils.py;src/pages/figures_factory.py
SebastianDall/binnary,db645b795858176bfc5bc0cff53449a1b157c288,SebastianDall,2024-02-28T08:52:46+01:00,fix: contamination file now loads as pandas,1,IO boundary,Input/output,Input/output,False,src/data_processing.py
SebastianDall/binnary,24b09cda8bd82ded55d6bd40499ce61c1eb5d4f8,SebastianDall,2024-02-23T05:42:03+00:00,feat: all to polars,1,Aggregation & joins;Core dataframe transforms,General functions,Core dataframe transforms,False,src/detect_contamination.py
SebastianDall/binnary,001df3165fb4daf155e4ca7354a39f580420edbb,SebastianDall,2024-02-23T05:21:38+00:00,feat: converted to pandas detection works,1,Aggregation & joins;Core dataframe transforms;Types & schema,DataFrame;General functions;GroupBy,Core dataframe transforms;Types & schema,False,src/scoring.py
afids/afids-utils,aca87ad4a8e29eec209591d516212a9cba1c95a1,Jason Kai,2023-06-20T11:06:24-04:00,switch from pandas to polars,1,IO boundary;Core dataframe transforms;Types & schema,Input/output,Core dataframe transforms;Input/output;Types & schema,False,afids_utils/io.py
business-science/pytimetk,b1ad03cd38ddc2dd9369a6ebbcd9dc154c02ad91,Matt Dancho,2025-11-05T17:00:12-05:00,#312 memory and polars performance improvements,3,Aggregation & joins;Core dataframe transforms,DataFrame;General functions,DataFrame/GroupBy,False,src/pytimetk/core/apply_by_time.py;src/pytimetk/feature_engineering/expanding_apply.py;src/pytimetk/feature_engineering/rolling_apply.py
business-science/pytimetk,6af48aaa1a309f669dbccb02ec4db7e4631147e7,Matt Dancho,2025-10-12T12:06:30-04:00,#297 remove import pytimetk.polars_namespace,3,Aggregation & joins;Core dataframe transforms,DataFrame;General functions;Series,Other polars API,False,tests/core/test_holiday_signature.py;tests/feature_engineering/test_docstring_examples.py;tests/feature_engineering/test_timeseries_signature.py
business-science/pytimetk,f990bfff25ca9c847300e3d6a2781ac690330c2d,Matt Dancho,2025-10-12T06:29:25-04:00,"Add 1st Class Support for Polars Data Frames Fixes #297 - exapnding, hilbert, rolling, wavelet",6,Aggregation & joins;Time series & window;Core dataframe transforms;Types & schema,DataFrame;General functions,Core dataframe transforms;DataFrame/GroupBy;Time series & window;Types & schema,False,src/pytimetk/feature_engineering/expanding.py;src/pytimetk/feature_engineering/expanding_apply.py;src/pytimetk/feature_engineering/hilbert.py;src/pytimetk/feature_engineering/rolling.py;src/pytimetk/feature_engineering/rolling_apply.py;src/pytimetk/feature_engineering/wavelet.py
business-science/pytimetk,b62afeff44234fd4000f22a9042aa9a494b3ab32,Matt Dancho,2025-10-11T20:35:53-04:00,"#297 feature engineering - polars 1st class support - diffs, ewm, lags, pct_chage, spline",1,Aggregation & joins;Core dataframe transforms,DataFrame;General functions,DataFrame/GroupBy,False,src/pytimetk/feature_engineering/ewm.py
business-science/pytimetk,02a16cc761a79e0f76b1e4a0d9fda39a7168093d,Matt Dancho,2025-10-11T14:08:41-04:00,#297 finance functions - polars 1st class support,11,Aggregation & joins;Core dataframe transforms;Types & schema,DataFrame;General functions;Series,Core dataframe transforms;DataFrame/GroupBy;Types & schema,False,src/pytimetk/finance/adx.py;src/pytimetk/finance/atr.py;src/pytimetk/finance/cmo.py;src/pytimetk/finance/drawdown.py;src/pytimetk/finance/ewma_volatility.py;src/pytimetk/finance/fip_momentum.py;src/pytimetk/finance/hurst_exponent.py;src/pytimetk/finance/qsmomentum.py;src/pytimetk/finance/regime_detection.py;src/pytimetk/finance/rolling_risk_metrics.py;src/pytimetk/finance/stochastic_oscillator.py
business-science/pytimetk,26c525037b9b33ba5dc8108accda53f027bb7c28,Matt Dancho,2025-10-11T11:00:00-04:00,#297 bbands and roc - 1st class polars support,2,Aggregation & joins;Time series & window;Core dataframe transforms,DataFrame,Core dataframe transforms;DataFrame/GroupBy;Time series & window,False,src/pytimetk/finance/bbands.py;src/pytimetk/finance/roc.py
business-science/pytimetk,11ab6ec0359ff74e887a61a4e85e1178c48aa9a0,Matt Dancho,2025-10-11T10:51:05-04:00,#297 ppo rsi - add 1st class polars support,2,Aggregation & joins;Time series & window;Core dataframe transforms,DataFrame,Core dataframe transforms;DataFrame/GroupBy;Time series & window,False,src/pytimetk/finance/ppo.py;src/pytimetk/finance/rsi.py
business-science/pytimetk,61380e604e5f3831841cfddb05c3a55d08139798,Matt Dancho,2025-10-11T10:42:30-04:00,#297 macd polars 1st class support,1,Aggregation & joins;Core dataframe transforms,DataFrame,Core dataframe transforms;DataFrame/GroupBy,False,src/pytimetk/finance/macd.py
business-science/pytimetk,81cdc0b7a76201c4595c067c982100b7f8db98a2,Matt Dancho,2025-10-11T10:34:35-04:00,"#297 expand to diffs, pct change, lag leads- polars 1st class support",2,Aggregation & joins;Core dataframe transforms,DataFrame,Core dataframe transforms;DataFrame/GroupBy,False,src/pytimetk/feature_engineering/diffs.py;src/pytimetk/feature_engineering/pct_change.py
business-science/pytimetk,6c7b5cf6f96510a9d5bf8d5359ace9544f2313e4,Matt Dancho,2025-10-11T10:23:53-04:00,#297 Polars direct integration Fixes #305 - lags and leads,2,Aggregation & joins;Core dataframe transforms,DataFrame,Core dataframe transforms;DataFrame/GroupBy,False,src/pytimetk/feature_engineering/lags.py;src/pytimetk/feature_engineering/leads.py
business-science/pytimetk,50fbdcb679777969a9d910af61b81b09f7a5242d,Matt Dancho,2025-10-11T10:08:28-04:00,#297 #305 first class polars support for augment_spline,2,Aggregation & joins;Missing values;Core dataframe transforms;Types & schema,"DataFrame;General functions;Missing values;Series;pandas arrays, scalars, and data types",DataFrame/GroupBy,False,src/pytimetk/feature_engineering/spline.py;src/pytimetk/utils/checks.py
business-science/pytimetk,57c25b813d8c95d63be2835910cca31f8137e3d9,tguedon,2023-11-06T18:07:42+01:00,fixed error pandas==2.0.0,1,Core dataframe transforms;Types & schema,DataFrame,Types & schema,False,src/pytimetk/core/ts_summary.py
business-science/pytimetk,bf02b665faa8fe70c5edd41ef935070c4e0de28d,tguedon,2023-11-02T23:30:08+01:00,ts_summary_polars_df working,1,Time series & window;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,DataFrame;Index objects;Series,Time series & window;Types & schema,False,src/pytimetk/core/ts_summary.py
business-science/pytimetk,db2a069cca9e750a5aa7153d49c543bda4972754,tguedon,2023-10-29T22:12:41+01:00,updated ts_summary_polars to be a dummy function for now,1,Aggregation & joins,General functions,Other polars API,False,src/pytimetk/core/ts_summary.py
business-science/pytimetk,7d4eed8be158d1b91b6b36f1817da385b5678abc,tguedon,2023-10-29T21:56:41+01:00,polars version for fourier v2 working,1,Core dataframe transforms,DataFrame,Other polars API,False,src/pytimetk/feature_engineering/fourier.py
business-science/pytimetk,501491e9242f6fabde9bb2b3e97c94af9686fe6d,tguedon,2023-10-29T20:20:21+01:00,polars version for fourier v2 working for DataFrame only,2,Aggregation & joins;Core dataframe transforms,DataFrame;Series,DataFrame/GroupBy;Other polars API,False,src/pytimetk/feature_engineering/fourier.py;src/pytimetk/utils/checks.py
business-science/pytimetk,441b4553d1868965f884cb05fc11138e4c129646,JB Kurland,2023-10-26T17:18:43-04:00,Update holiday_signature.py augment_holiday polars engine,1,Aggregation & joins;Core dataframe transforms;Types & schema,General functions,Core dataframe transforms;Types & schema,False,src/pytimetk/feature_engineering/holiday_signature.py
business-science/pytimetk,71cf50866bb09ff10d20e5e8ac08975a39bdc347,JB Kurland,2023-10-24T20:03:45-04:00,Update pandas_helpers.py glimpse polars,1,Core dataframe transforms,DataFrame,Other polars API,False,src/pytimetk/utils/pandas_helpers.py
business-science/pytimetk,20778261cca126c293512e831946200f41120a90,JB Kurland,2023-10-24T09:34:12-04:00,Update frequency.py time_scale_template - polars,1,Core dataframe transforms,DataFrame,Other polars API,False,src/pytimetk/core/frequency.py
business-science/pytimetk,a559d16a2cfc68721af0583574fbf5790f920b25,JB Kurland,2023-10-24T06:55:04-04:00,Update frequency.py timeseries_unit_get_frequency polars,1,Core dataframe transforms,DataFrame,Other polars API,False,src/pytimetk/core/frequency.py
business-science/pytimetk,c6327dd095798b384fb3017a448941b8e15aad79,Matt Dancho,2023-10-23T13:51:15-04:00,polars backend: fixes,1,Core dataframe transforms,Series,Other polars API,False,src/pytimetk/core/ts_summary.py
business-science/pytimetk,c79ce6d9f9c1b93590bf5adbd4bb403cad930ffc,JB Kurland,2023-10-23T07:33:04-04:00,Update get_summary_date polars engine,1,Core dataframe transforms;Index & pandas-specific semantics,Index objects;Series,Other polars API,False,src/pytimetk/core/ts_summary.py
business-science/pytimetk,191d9ed73e46898b0b7aed9cbe7fb6bd31f79d4a,JB Kurland,2023-10-22T20:13:17-04:00,Update is_holiday polars backend,1,Aggregation & joins;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,General functions;Index objects;Series,Types & schema,False,src/pytimetk/utils/datetime_helpers.py
business-science/pytimetk,ef9b99ff9f30b7a7ff06a7a01a5a907fecb7df0e,JB Kurland,2023-10-22T10:04:58-04:00,Update `make_weekend_sequence`,1,Core dataframe transforms;Types & schema,DataFrame,Types & schema,False,src/pytimetk/core/make_timeseries_sequence.py
business-science/pytimetk,fd58c3ace9a7804a1b339867137c882f72dd6a07,JB Kurland,2023-10-22T08:48:21-04:00,Update make_timeseries_sequence.py - polars weekday engine,1,Core dataframe transforms;Types & schema,DataFrame,Types & schema,False,src/pytimetk/core/make_timeseries_sequence.py
business-science/pytimetk,e28d23a3bf0e0fba90afbf02eb7108dc5cccaee8,JB Kurland,2023-10-21T12:24:06-04:00,Update get_datasets.py add polars engine,1,IO boundary,Input/output,Input/output,False,src/pytimetk/datasets/get_datasets.py
business-science/pytimetk,1bbf0cf7371d15d66aa26beaa9cf8bd863273a44,amr,2023-10-18T21:53:41-07:00,feat(augment_rolling): Add polars backend support,1,Core dataframe transforms;Types & schema,Other pandas API,Core dataframe transforms;Types & schema,False,src/pytimetk/core/rolling.py
business-science/pytimetk,872c8846c978aa680afa74bce45eb25dfac72f7d,JB Kurland,2023-10-18T17:29:24-04:00,Update datetime_helpers.py,1,Core dataframe transforms,Series,Other polars API,False,src/pytimetk/utils/datetime_helpers.py
business-science/pytimetk,58beafb43f2f3ab7fd7093fefcfb4ef728f3e739,JB Kurland,2023-10-16T11:27:23-04:00,Update datetime_helpers.py,1,Core dataframe transforms;Index & pandas-specific semantics,Index objects;Series,Other polars API,False,src/pytimetk/utils/datetime_helpers.py
business-science/pytimetk,cd7c8e4608b76400aa31e4273eccb14f9f5047fc,Matt Dancho,2023-10-15T21:27:26-04:00,#113 consolidated code for polars and pandas engines,1,Aggregation & joins;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,DataFrame;General functions;Index objects;Options and settings;Series,Core dataframe transforms;Types & schema,False,src/pytimetk/core/timeseries_signature.py
business-science/pytimetk,f840eba6f278cbef7cb35781450071e16ba3c999,JB Kurland,2023-10-15T14:23:38-04:00,Update timeseries_signature.py,1,Aggregation & joins;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,DataFrame;General functions;Index objects;Series,Core dataframe transforms;Types & schema,False,src/pytimetk/core/timeseries_signature.py
business-science/pytimetk,8b76ac52bbe170c8ee3748bf9aefa55ab58aaf1f,amr,2023-10-14T09:54:56-07:00,Improve speed of Polars backend for augment_expanding function,1,Core dataframe transforms,DataFrame,Core dataframe transforms,False,src/pytimetk/core/expanding.py
