pair_id,repo,sha,file_path,pair_stem,before_path,after_path,patch_path,test_label,match_status,file_status,macro_primary_old,macro_all_old,patch_lines_file_old
YuriNakayama__cate__29097c0c9df7d244ff5a7de3611b64bf806b09ab__001,YuriNakayama/cate,29097c0c9df7d244ff5a7de3611b64bf806b09ab,process/model/biased_data/scripts/train.py,process__model__biased_data__scripts__train.py,second_isolated_migrations_artifacts/YuriNakayama__cate/29097c0c9df7d244ff5a7de3611b64bf806b09ab/process__model__biased_data__scripts__train.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/29097c0c9df7d244ff5a7de3611b64bf806b09ab/process__model__biased_data__scripts__train.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/29097c0c9df7d244ff5a7de3611b64bf806b09ab/process__model__biased_data__scripts__train.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins,142
YuriNakayama__cate__29097c0c9df7d244ff5a7de3611b64bf806b09ab__002,YuriNakayama/cate,29097c0c9df7d244ff5a7de3611b64bf806b09ab,process/model/small_data/scripts/train.py,process__model__small_data__scripts__train.py,second_isolated_migrations_artifacts/YuriNakayama__cate/29097c0c9df7d244ff5a7de3611b64bf806b09ab/process__model__small_data__scripts__train.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/29097c0c9df7d244ff5a7de3611b64bf806b09ab/process__model__small_data__scripts__train.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/29097c0c9df7d244ff5a7de3611b64bf806b09ab/process__model__small_data__scripts__train.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins,85
YuriNakayama__cate__29097c0c9df7d244ff5a7de3611b64bf806b09ab__003,YuriNakayama/cate,29097c0c9df7d244ff5a7de3611b64bf806b09ab,process/preprocess/to_dataset.py,process__preprocess__to_dataset.py,second_isolated_migrations_artifacts/YuriNakayama__cate/29097c0c9df7d244ff5a7de3611b64bf806b09ab/process__preprocess__to_dataset.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/29097c0c9df7d244ff5a7de3611b64bf806b09ab/process__preprocess__to_dataset.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/29097c0c9df7d244ff5a7de3611b64bf806b09ab/process__preprocess__to_dataset.py.patch,Yes,exact_match,complete,IO boundary,IO boundary,54
YuriNakayama__cate__539757327018fb0ac9507581d28fa9a0584dacf8__001,YuriNakayama/cate,539757327018fb0ac9507581d28fa9a0584dacf8,tests/dataset/test_to_rank.py,tests__dataset__test_to_rank.py,second_isolated_migrations_artifacts/YuriNakayama__cate/539757327018fb0ac9507581d28fa9a0584dacf8/tests__dataset__test_to_rank.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/539757327018fb0ac9507581d28fa9a0584dacf8/tests__dataset__test_to_rank.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/539757327018fb0ac9507581d28fa9a0584dacf8/tests__dataset__test_to_rank.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,63
YuriNakayama__cate__7e55b00bbfcb2310701839dade699c9ef6a87c93__001,YuriNakayama/cate,7e55b00bbfcb2310701839dade699c9ef6a87c93,cate/dataset.py,cate__dataset.py,second_isolated_migrations_artifacts/YuriNakayama__cate/7e55b00bbfcb2310701839dade699c9ef6a87c93/cate__dataset.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/7e55b00bbfcb2310701839dade699c9ef6a87c93/cate__dataset.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/7e55b00bbfcb2310701839dade699c9ef6a87c93/cate__dataset.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,12
YuriNakayama__cate__a297a3ee0adfbeb48093876e2f7ecdba1c85a6e8__001,YuriNakayama/cate,a297a3ee0adfbeb48093876e2f7ecdba1c85a6e8,cate/dataset.py,cate__dataset.py,second_isolated_migrations_artifacts/YuriNakayama__cate/a297a3ee0adfbeb48093876e2f7ecdba1c85a6e8/cate__dataset.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/a297a3ee0adfbeb48093876e2f7ecdba1c85a6e8/cate__dataset.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/a297a3ee0adfbeb48093876e2f7ecdba1c85a6e8/cate__dataset.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,7
YuriNakayama__cate__dcff23d0d7204eafd421ecacfe7e6218533dfb27__001,YuriNakayama/cate,dcff23d0d7204eafd421ecacfe7e6218533dfb27,cate/dataset.py,cate__dataset.py,second_isolated_migrations_artifacts/YuriNakayama__cate/dcff23d0d7204eafd421ecacfe7e6218533dfb27/cate__dataset.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/dcff23d0d7204eafd421ecacfe7e6218533dfb27/cate__dataset.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/dcff23d0d7204eafd421ecacfe7e6218533dfb27/cate__dataset.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins,9
YuriNakayama__cate__e3227f4fa812adb6545baf204631c74e705234c6__001,YuriNakayama/cate,e3227f4fa812adb6545baf204631c74e705234c6,cate/dataset.py,cate__dataset.py,second_isolated_migrations_artifacts/YuriNakayama__cate/e3227f4fa812adb6545baf204631c74e705234c6/cate__dataset.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/e3227f4fa812adb6545baf204631c74e705234c6/cate__dataset.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/e3227f4fa812adb6545baf204631c74e705234c6/cate__dataset.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,21
YuriNakayama__cate__ed3b46c08e0d274cae49860e6391b45d4d03a18b__001,YuriNakayama/cate,ed3b46c08e0d274cae49860e6391b45d4d03a18b,process/model/base_pattern/scripts/train.py,process__model__base_pattern__scripts__train.py,second_isolated_migrations_artifacts/YuriNakayama__cate/ed3b46c08e0d274cae49860e6391b45d4d03a18b/process__model__base_pattern__scripts__train.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/ed3b46c08e0d274cae49860e6391b45d4d03a18b/process__model__base_pattern__scripts__train.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/ed3b46c08e0d274cae49860e6391b45d4d03a18b/process__model__base_pattern__scripts__train.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins,45
YuriNakayama__cate__ed3b46c08e0d274cae49860e6391b45d4d03a18b__002,YuriNakayama/cate,ed3b46c08e0d274cae49860e6391b45d4d03a18b,process/model/classification/scripts/train.py,process__model__classification__scripts__train.py,second_isolated_migrations_artifacts/YuriNakayama__cate/ed3b46c08e0d274cae49860e6391b45d4d03a18b/process__model__classification__scripts__train.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/ed3b46c08e0d274cae49860e6391b45d4d03a18b/process__model__classification__scripts__train.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/ed3b46c08e0d274cae49860e6391b45d4d03a18b/process__model__classification__scripts__train.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins,61
YuriNakayama__cate__f11c29aece42e2a62be6379ee2eeb7175bb7ad66__001,YuriNakayama/cate,f11c29aece42e2a62be6379ee2eeb7175bb7ad66,cate/dataset.py,cate__dataset.py,second_isolated_migrations_artifacts/YuriNakayama__cate/f11c29aece42e2a62be6379ee2eeb7175bb7ad66/cate__dataset.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/f11c29aece42e2a62be6379ee2eeb7175bb7ad66/cate__dataset.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/f11c29aece42e2a62be6379ee2eeb7175bb7ad66/cate__dataset.py.patch,Yes,exact_match,complete,IO boundary,IO boundary,64
biodatageeks__polars-bio__246017fa22746ef68237b4fb71b4c749b5635697__001,biodatageeks/polars-bio,246017fa22746ef68237b4fb71b4c749b5635697,polars_bio/range_op_helpers.py,polars_bio__range_op_helpers.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/246017fa22746ef68237b4fb71b4c749b5635697/polars_bio__range_op_helpers.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/246017fa22746ef68237b4fb71b4c749b5635697/polars_bio__range_op_helpers.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/246017fa22746ef68237b4fb71b4c749b5635697/polars_bio__range_op_helpers.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,66
biodatageeks__polars-bio__246017fa22746ef68237b4fb71b4c749b5635697__002,biodatageeks/polars-bio,246017fa22746ef68237b4fb71b4c749b5635697,polars_bio/range_op_io.py,polars_bio__range_op_io.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/246017fa22746ef68237b4fb71b4c749b5635697/polars_bio__range_op_io.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/246017fa22746ef68237b4fb71b4c749b5635697/polars_bio__range_op_io.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/246017fa22746ef68237b4fb71b4c749b5635697/polars_bio__range_op_io.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,54
biodatageeks__polars-bio__2ae3f74905a7adffe28a301590f36c22f254da22__001,biodatageeks/polars-bio,2ae3f74905a7adffe28a301590f36c22f254da22,polars_bio/interval_op_helpers.py,polars_bio__interval_op_helpers.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/2ae3f74905a7adffe28a301590f36c22f254da22/polars_bio__interval_op_helpers.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/2ae3f74905a7adffe28a301590f36c22f254da22/polars_bio__interval_op_helpers.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/2ae3f74905a7adffe28a301590f36c22f254da22/polars_bio__interval_op_helpers.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,65
biodatageeks__polars-bio__99aff9e079cb61dc655298c193b6f96254bf9b21__001,biodatageeks/polars-bio,99aff9e079cb61dc655298c193b6f96254bf9b21,polars_bio/range_op_helpers.py,polars_bio__range_op_helpers.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/99aff9e079cb61dc655298c193b6f96254bf9b21/polars_bio__range_op_helpers.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/99aff9e079cb61dc655298c193b6f96254bf9b21/polars_bio__range_op_helpers.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/99aff9e079cb61dc655298c193b6f96254bf9b21/polars_bio__range_op_helpers.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,205
biodatageeks__polars-bio__99aff9e079cb61dc655298c193b6f96254bf9b21__002,biodatageeks/polars-bio,99aff9e079cb61dc655298c193b6f96254bf9b21,polars_bio/range_op_io.py,polars_bio__range_op_io.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/99aff9e079cb61dc655298c193b6f96254bf9b21/polars_bio__range_op_io.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/99aff9e079cb61dc655298c193b6f96254bf9b21/polars_bio__range_op_io.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/99aff9e079cb61dc655298c193b6f96254bf9b21/polars_bio__range_op_io.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,69
biodatageeks__polars-bio__e382f954c37e6e65280539e88cee50c1f99b12d5__001,biodatageeks/polars-bio,e382f954c37e6e65280539e88cee50c1f99b12d5,polars_bio/range_op_helpers.py,polars_bio__range_op_helpers.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/e382f954c37e6e65280539e88cee50c1f99b12d5/polars_bio__range_op_helpers.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/e382f954c37e6e65280539e88cee50c1f99b12d5/polars_bio__range_op_helpers.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/e382f954c37e6e65280539e88cee50c1f99b12d5/polars_bio__range_op_helpers.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,150
biodatageeks__polars-bio__f8c39fbdc04443f0228b3ddcc5678baa4749e52e__001,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,polars_bio/interval_op_helpers.py,polars_bio__interval_op_helpers.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__interval_op_helpers.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__interval_op_helpers.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__interval_op_helpers.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,26
biodatageeks__polars-bio__f8c39fbdc04443f0228b3ddcc5678baa4749e52e__002,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,polars_bio/range_op.py,polars_bio__range_op.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_op.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_op.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_op.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,51
biodatageeks__polars-bio__f8c39fbdc04443f0228b3ddcc5678baa4749e52e__003,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,polars_bio/range_op_helpers.py,polars_bio__range_op_helpers.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_op_helpers.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_op_helpers.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_op_helpers.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,30
biodatageeks__polars-bio__f8c39fbdc04443f0228b3ddcc5678baa4749e52e__004,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,polars_bio/range_op_io.py,polars_bio__range_op_io.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_op_io.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_op_io.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_op_io.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,31
biodatageeks__polars-bio__f8c39fbdc04443f0228b3ddcc5678baa4749e52e__005,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,polars_bio/range_utils.py,polars_bio__range_utils.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_utils.py.before.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_utils.py.after.py,second_isolated_migrations_artifacts/biodatageeks__polars-bio/f8c39fbdc04443f0228b3ddcc5678baa4749e52e/polars_bio__range_utils.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,29
equinor__ert__a21c6bbdb345d20c471b9469bb20264a21dd70f0__001,equinor/ert,a21c6bbdb345d20c471b9469bb20264a21dd70f0,tests/ert/ui_tests/cli/test_cli.py,tests__ert__ui_tests__cli__test_cli.py,second_isolated_migrations_artifacts/equinor__ert/a21c6bbdb345d20c471b9469bb20264a21dd70f0/tests__ert__ui_tests__cli__test_cli.py.before.py,second_isolated_migrations_artifacts/equinor__ert/a21c6bbdb345d20c471b9469bb20264a21dd70f0/tests__ert__ui_tests__cli__test_cli.py.after.py,second_isolated_migrations_artifacts/equinor__ert/a21c6bbdb345d20c471b9469bb20264a21dd70f0/tests__ert__ui_tests__cli__test_cli.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins,49
equinor__ert__a52cebfe34f58d25adabd0d42219ae5467833cce__001,equinor/ert,a52cebfe34f58d25adabd0d42219ae5467833cce,src/ert/analysis/_es_update.py,src__ert__analysis___es_update.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__analysis___es_update.py.before.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__analysis___es_update.py.after.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__analysis___es_update.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins,136
equinor__ert__a52cebfe34f58d25adabd0d42219ae5467833cce__002,equinor/ert,a52cebfe34f58d25adabd0d42219ae5467833cce,src/ert/dark_storage/common.py,src__ert__dark_storage__common.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__dark_storage__common.py.before.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__dark_storage__common.py.after.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__dark_storage__common.py.patch,Yes,exact_match,complete,Index & pandas-specific semantics,Index & pandas-specific semantics,213
equinor__ert__a52cebfe34f58d25adabd0d42219ae5467833cce__003,equinor/ert,a52cebfe34f58d25adabd0d42219ae5467833cce,src/ert/data/_measured_data.py,src__ert__data___measured_data.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__data___measured_data.py.before.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__data___measured_data.py.after.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__data___measured_data.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins;Index & pandas-specific semantics,156
equinor__ert__a52cebfe34f58d25adabd0d42219ae5467833cce__004,equinor/ert,a52cebfe34f58d25adabd0d42219ae5467833cce,src/ert/resources/workflows/jobs/internal-gui/scripts/gen_data_rft_export.py,src__ert__resources__workflows__jobs__internal-gui__scripts__gen_data_rft_export.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__resources__workflows__jobs__internal-gui__scripts__gen_data_rft_export.py.before.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__resources__workflows__jobs__internal-gui__scripts__gen_data_rft_export.py.after.py,second_isolated_migrations_artifacts/equinor__ert/a52cebfe34f58d25adabd0d42219ae5467833cce/src__ert__resources__workflows__jobs__internal-gui__scripts__gen_data_rft_export.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins;Index & pandas-specific semantics,134
equinor__ert__cd916ddcfd4203563f740ae6b4dd33c5063343d6__001,equinor/ert,cd916ddcfd4203563f740ae6b4dd33c5063343d6,src/ert/config/design_matrix.py,src__ert__config__design_matrix.py,second_isolated_migrations_artifacts/equinor__ert/cd916ddcfd4203563f740ae6b4dd33c5063343d6/src__ert__config__design_matrix.py.before.py,second_isolated_migrations_artifacts/equinor__ert/cd916ddcfd4203563f740ae6b4dd33c5063343d6/src__ert__config__design_matrix.py.after.py,second_isolated_migrations_artifacts/equinor__ert/cd916ddcfd4203563f740ae6b4dd33c5063343d6/src__ert__config__design_matrix.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Aggregation & joins;Missing values;Other / Manual,304
