repo,sha,author,date_iso,subject,isolated_units,macro_groups,pandas_types_union,polars_types_union,is_tangled,changed_py_files
TakumiMukaiyama/recsys2025,07aade32087f1f11dac8ae7ad4ec6cf0e47ee2d0,TakumiMukaiyama,2025-04-11T10:08:49+09:00,pandas___polars_¸ã_ç§»è__²ã___ataFrame_____´ã__¾ã__________¡ã__________¼ã__¦ç___olars__å¿_________¿®æ­£ã_è¡___¾ã___,1,Index & pandas-specific semantics,Index objects,Expressions - Columns/names,False,src/engineering/aggregated_features_baseline/features_aggregator.py
TakumiMukaiyama/recsys2025,2c9e318aa121d1976330f41afc6890234d1c5e0e,TakumiMukaiyama,2025-04-11T10:04:38+09:00,update: pandas to polars,3,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Functions;Input/output - Parquet,False,src/data_utils/split_data.py;src/data_utils/utils.py;src/engineering/aggregated_features_baseline/create_embeddings.py
TakumiMukaiyama/recsys2025,0307973106b89f3a65f874ad7270ff99d16d64ec,TakumiMukaiyama,2025-04-11T09:57:57+09:00,update: pandas to polars,1,Types & schema;Index & pandas-specific semantics,"Index objects;pandas arrays, scalars, and data types",Expressions - Functions,False,src/engineering/aggregated_features_baseline/calculators.py
The-Remedy-Project/data_dashboard,bc42d3d0c3c4715507cd705db28518cc2dd272ac,Colin Adams,2025-01-17T14:55:25-05:00,"removed pandas dependencies, complete migration to polars. added some documentation in README.md and updated some of the software packages",1,IO boundary;Aggregation & joins,General functions;GroupBy;Input/output,Expressions - Columns/names;Expressions - Functions;Functions;Input/output - CSV,False,src/data_dashboard.py
The-Remedy-Project/data_dashboard,35367f68f5c3967b501798a38946b07542e3ffc1,Colin Adams,2024-10-29T12:55:32-04:00,new version using (mostly) polars lazyframe to lower memory consumption,1,IO boundary;Aggregation & joins,GroupBy;Input/output,Expressions - Columns/names;Expressions - Functions;Input/output - Parquet,False,src/data_dashboard.py
WardDeb/data_viz_kul,8df6188073f347dfc618d3e71b42a702c8408195,wardDeb,2025-03-29T18:01:38+01:00,shift preprocessing to polars,1,Aggregation & joins,General functions,Expressions - Columns/names,False,marimo/preprocessing.py
YuriNakayama/cate,29097c0c9df7d244ff5a7de3611b64bf806b09ab,YuriNakayama,2025-01-03T02:03:29+09:00,Feature/pytorch pipeline (#7),3,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Functions;Other polars API,False,process/model/biased_data/scripts/train.py;process/model/small_data/scripts/train.py;process/preprocess/to_dataset.py
YuriNakayama/cate,ed3b46c08e0d274cae49860e6391b45d4d03a18b,YuriNakayama,2025-01-01T19:01:41+09:00,:recycle: Replace pandas with Polars for improved performance and cleaner data handling in training scripts,2,Aggregation & joins,General functions,Functions,False,process/model/base_pattern/scripts/train.py;process/model/classification/scripts/train.py
YuriNakayama/cate,e3227f4fa812adb6545baf204631c74e705234c6,YuriNakayama,2025-01-01T18:15:09+09:00,:recycle: Refactor sample and split functions to utilize Polars DataFrame for improved performance and consistency,1,Other / Manual,Other pandas API,Other polars API,False,cate/dataset.py
YuriNakayama/cate,7e55b00bbfcb2310701839dade699c9ef6a87c93,YuriNakayama,2025-01-01T18:09:15+09:00,:sparkles: Improve sample function to use Polars DataFrame for enhanced performance and consistency,1,Other / Manual,Other pandas API,Other polars API,False,cate/dataset.py
YuriNakayama/cate,1e52b4e74b3b012dfc012cc6e81870d78acafb05,YuriNakayama,2025-01-01T18:03:30+09:00,:sparkles: Update concat function to use Polars for improved performance,1,Aggregation & joins,General functions,Functions,False,cate/dataset.py
YuriNakayama/cate,a297a3ee0adfbeb48093876e2f7ecdba1c85a6e8,YuriNakayama,2025-01-01T17:59:05+09:00,:sparkles: Update filter function to use Polars Series for improved type consistency,1,Other / Manual,Other pandas API,Other polars API,False,cate/dataset.py
YuriNakayama/cate,dcff23d0d7204eafd421ecacfe7e6218533dfb27,YuriNakayama,2025-01-01T11:50:48+09:00,:sparkles: Refactor filter function to use Polars for improved performance and readability,1,Aggregation & joins,General functions,Expressions - Functions,False,cate/dataset.py
YuriNakayama/cate,f11c29aece42e2a62be6379ee2eeb7175bb7ad66,YuriNakayama,2025-01-01T11:05:00+09:00,:sparkles: Refactor Dataset class to use Polars DataFrame and update save/load methods for parquet and shelve formats,1,IO boundary,Input/output,Input/output - Parquet,False,cate/dataset.py
YuriNakayama/cate,539757327018fb0ac9507581d28fa9a0584dacf8,YuriNakayama,2025-01-01T10:09:22+09:00,:green_heart: Refactor test cases for to_rank function to use Polars for consistency and improved performance,1,Other / Manual,Testing,Other polars API,False,tests/dataset/test_to_rank.py
YuriNakayama/cate,1ec015da449437e671577625f2ecaa9a1670f9f9,YuriNakayama,2024-12-31T18:20:41+09:00,:sparkels: Refactor to_rank function to use Polars for improved performance and flexibility,1,Other / Manual,Other pandas API,Other polars API,False,cate/dataset.py
aryarifki/bei-stock-screener,c89ed9d8698b67379e1d83ef11280045d7ddff78,copilot-swe-agent[bot],2025-07-13T04:20:40+00:00,Replace pandas with polars in stock screener application,1,Other / Manual,,Expressions - Columns/names,False,app.py
aviation-impact-accelerator/aia-analysis-contrail-avoidance,172209375bd5859b25806b9420c435c01e6efbdb,Ana Stojanovic,2025-12-11T16:23:35+00:00,Update from pandas to polars,1,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Input/output - Parquet,False,analysis/generate_energy_forcing_statistics.py
aviation-impact-accelerator/aia-analysis-contrail-avoidance,d53dfea145d348bf87be8996d95335bc3e3fad58,Ana Stojanovic,2025-12-11T16:23:16+00:00,Update from pandas to polars,1,IO boundary,Input/output,Expressions - Columns/names;Input/output - Parquet,False,analysis/plot_energy_forcing_histogram.py
aviation-impact-accelerator/aia-analysis-contrail-avoidance,a80a1bb69999383c0180f416a5051148abb5c6e9,Ana Stojanovic,2025-12-11T16:23:02+00:00,Update from pandas to polars,1,IO boundary;Aggregation & joins;Missing values,General functions;Input/output;Missing values,Expressions - Columns/names;Input/output - Parquet,False,flight_data/flight_data_processing.py
aviation-impact-accelerator/aia-analysis-contrail-avoidance,6b666d8d8af59da8227bbdc97b127458f27a9035,Ana Stojanovic,2025-12-11T16:22:50+00:00,Update from pandas to polars,1,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Input/output - Parquet,False,analysis/generate_flight_data_statistics_with_histogram.py
aviation-impact-accelerator/aia-analysis-contrail-avoidance,339dd49f7b7d402c36ade8b3fb08aca9bdca7b37,Ana Stojanovic,2025-12-11T16:22:32+00:00,Update from pandas to polars,1,Other / Manual,Other pandas API,Expressions - Columns/names,False,analysis/calculate_energy_forcing.py
aviation-impact-accelerator/aia-analysis-contrail-avoidance,28a725896f47e3206f188a1619d155bd1b0a0984,Ana Stojanovic,2025-12-11T15:39:43+00:00,Update file from pandas to polars,1,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Input/output - Parquet,False,flight_data/generate_flight_data_statistics.py
aviation-impact-accelerator/aia-analysis-contrail-avoidance,d8acb291a916f50f7e314f7e52937dc42726757e,Ana Stojanovic,2025-12-11T15:01:09+00:00,Update airports from pandas to polars,1,IO boundary,Input/output,Expressions - Columns/names;Input/output - Parquet,False,src/aia_model_contrail_avoidance/airports.py
aviation-impact-accelerator/aia-analysis-contrail-avoidance,4c35076a36380a09a059a1ad617ad157dcb8d89c,Ana Stojanovic,2025-12-11T15:00:56+00:00,Update environment from pandas to polars,1,Aggregation & joins,General functions,Expressions - Columns/names;Expressions - Functions,False,src/aia_model_contrail_avoidance/environment.py
aviation-impact-accelerator/aia-analysis-contrail-avoidance,abdeca1f5f3d598adcc21cba3b514f736efbadb5,Ana Stojanovic,2025-12-11T15:00:36+00:00,Update flights from pandas to polars,1,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Functions;Input/output - Parquet,False,src/aia_model_contrail_avoidance/flights.py
bcgov/sdpr-cdw-data-pipelines,0baf02fcc99e8a4590876019ab86f781d55178fc,James Scott,2025-02-19T10:43:34-08:00,Chips migration from pandas to polars (#7),3,Core dataframe transforms;Other / Manual,DataFrame;Options and settings;Other pandas API;Testing,Config;Expressions - Columns/names;Expressions - Functions;Functions;Other polars API,False,chips/chips-src-to-stg/src/etl_engine.py;chips/chips-src-to-stg/src/peoplesoft_etl.py;chips/chips-src-to-stg/src/utils.py
bcgov/sdpr-cdw-data-pipelines,9117c73f40feb8e4e2a38ffbef14387094b8c2aa,James Scott,2025-02-19T10:43:34-08:00,Chips migration from pandas to polars (#7),3,Core dataframe transforms;Other / Manual,DataFrame;Options and settings;Other pandas API;Testing,Config;Expressions - Columns/names;Expressions - Functions;Functions;Other polars API,False,chips/chips-src-to-stg/src/etl_engine.py;chips/chips-src-to-stg/src/peoplesoft_etl.py;chips/chips-src-to-stg/src/utils.py
biodatageeks/polars-bio,e382f954c37e6e65280539e88cee50c1f99b12d5,Marek WiewiÃ³rka,2026-01-25T16:09:02+01:00,perf: Fix DataFrame input slowdown by releasing GIL (#71) (#271),1,Other / Manual,Other pandas API,Other polars API,False,polars_bio/range_op_helpers.py
biodatageeks/polars-bio,99aff9e079cb61dc655298c193b6f96254bf9b21,Wojciech Sitek,2025-09-12T09:54:55+02:00,fix: Polars >1.31.0 support (#233),2,Other / Manual,Other pandas API,Functions;Other polars API,False,polars_bio/range_op_helpers.py;polars_bio/range_op_io.py
biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,Marek WiewiÃ³rka,2025-08-13T06:45:56+02:00,fix: Making Pandas dependency optional (#195),5,Other / Manual,Other pandas API,Other polars API,False,polars_bio/interval_op_helpers.py;polars_bio/range_op.py;polars_bio/range_op_helpers.py;polars_bio/range_op_io.py;polars_bio/range_utils.py
biodatageeks/polars-bio,246017fa22746ef68237b4fb71b4c749b5635697,zkeram,2025-06-03T07:14:05+02:00,fix: More input combinations of polars and pandas and refactor (#125),2,Other / Manual,Other pandas API,Other polars API,False,polars_bio/range_op_helpers.py;polars_bio/range_op_io.py
biodatageeks/polars-bio,2ae3f74905a7adffe28a301590f36c22f254da22,zkeram,2025-02-11T19:31:47+00:00,feat: Add `merge` function (#79),1,Other / Manual,Other pandas API,Other polars API,False,polars_bio/interval_op_helpers.py
blackerby/gpo,c7583b00ed01a333fe519ed187b52027475e0778,William Blackerby,2025-01-04T08:59:07-05:00,replace pandas and requests with polars and httpx,1,Core dataframe transforms,DataFrame,Expressions - Columns/names;Expressions - Functions,False,main.py
brandonschabell/alphaflow,2cd223f5ddfb8b31d4d7c2960dbe25f65ba31423,Brandon Schabell,2025-11-11T15:37:29-06:00,Replace pandas with polars (#33),1,IO boundary,Input/output,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,False,alphaflow/data_feeds/csv_data_feed.py
bttex/processador_csv,a7bbd9a59d5dc5a573b61723c062a88240f391d9,Bruno Teixeira,2025-04-10T14:22:16-03:00,feat: substituido pandas por polars,1,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Expressions - Functions;Input/output - CSV;Input/output - Excel;Input/output - Parquet,False,processador.py
carolinajacoby/sia-sus,fa58d77bfb58dcd89c137f76674f7e9620c27e3a,Carolina Jacoby,2025-10-07T12:10:01-03:00,refactor: Migra ETL de Pandas para Polars para melhor performance.,1,IO boundary;Aggregation & joins,General functions;Input/output,Functions;Input/output - Parquet,False,transform/process_data.py
ctasada/stonks-overwatch,017b4ef297b2936c5d1037bdb076e304f27ab2b6,Carlos Tasada,2025-09-04T07:22:44+02:00,Replace Pandas for Polars or local implementations (#177),8,IO boundary;Aggregation & joins;Missing values;Core dataframe transforms,DataFrame;General functions;Input/output;Missing values,Expressions - Columns/names;Expressions - Functions;Functions;Input/output - CSV,False,scripts/degiro/account_overview.py;scripts/portfolio-performance/deGiroAnalysis.py;scripts/portfolio-performance/deGiroConverterAccount.py;scripts/portfolio-performance/deGiroConverterTrans.py;src/stonks_overwatch/services/aggregators/deposits_aggregator.py;src/stonks_overwatch/services/brokers/degiro/services/deposit_service.py;src/stonks_overwatch/services/brokers/degiro/services/update_service.py;src/stonks_overwatch/views/dashboard.py
dagster-io/community-integrations,855a2e0eceb3e07c404b1c46ed2b901bcfe2febd,Deepyaman Datta,2025-05-02T15:12:10-06:00,[dagster-iceberg] Remove pandas for Polars example (#194),1,IO boundary,Input/output,Input/output - CSV,False,libraries/dagster-iceberg/src/dagster_iceberg/io_manager/polars.py
davidstyers/vegas,e432ac2a88db1d04ddbd6c95b120e5a14c0b344f,dstyers,2025-08-20T01:32:51+00:00,Enhance performance analytics and reporting capabilities,2,Aggregation & joins;Missing values;Other / Manual,General functions;Missing values;Other pandas API,Functions;Other polars API,False,vegas/analytics/analytics.py;vegas/cli/main.py
davidstyers/vegas,7139c41821cc2b16302c42eea40c2ec775b85da1,dstyers,2025-08-10T22:22:59+00:00,Update dependencies and enhance pipeline functionality,7,Types & schema;Other / Manual,"pandas arrays, scalars, and data types",Expressions - Columns/names;Expressions - Functions;Other polars API,False,vegas/pipeline/engine.py;vegas/pipeline/factors/basic.py;vegas/pipeline/factors/custom.py;vegas/pipeline/factors/statistical.py;vegas/pipeline/filters/advanced.py;vegas/pipeline/filters/basic.py;vegas/pipeline/terms.py
davidstyers/vegas,8af357ce91e4b121f2e9c73811653f46f5118193,davidstyers,2025-08-02T21:56:57-04:00,Refactor pipeline example and data layer to utilize Polars for improved performance. Update trading strategy to handle signals and positions more efficiently. Enhance database manager with a method to retrieve available trading days. Adjust data handling in the backtesting engine and pipeline engine for better compatibility with Polars DataFrames.,2,Aggregation & joins;Types & schema,"General functions;pandas arrays, scalars, and data types",Expressions - Columns/names;Expressions - Functions;Functions,False,examples/pipeline_example.py;vegas/pipeline/engine.py
davidstyers/vegas,95b58240b24668cc8295203f7a2c19b67f938d4a,dstyers,2025-08-01T02:12:44+00:00,"Enhance trading strategy perf and data handling by migrating to Polars. Update WeeklySpyTrader example to include specific trading hours and adjust data filtering. Refactor backtesting engine to utilize Polars for improved performance. Modify portfolio management to support Polars DataFrame, ensuring compatibility with new data structures. Update QuantStats report generation to work with Polars data. Improve logging and error handling throughout the codebase.",2,Types & schema;Other / Manual,"Other pandas API;pandas arrays, scalars, and data types",Expressions - Columns/names;Expressions - Functions,False,vegas/cli/main.py;vegas/portfolio/portfolio.py
davidstyers/vegas,2efdcbafd1cb4dab0c96db1f6e9132a5cdeb3166,dstyers,2025-07-31T06:26:40+00:00,"Implement migration from pandas to polars for improved performance and memory efficiency. Update dependencies, documentation, and examples to reflect the new data processing library. Add a changelog and migration guide to assist users in transitioning to the new API. Enhance timezone handling and database-level filtering capabilities.",4,IO boundary;Aggregation & joins;Missing values;Types & schema;Index & pandas-specific semantics;Other / Manual,"General functions;Index objects;Input/output;Missing values;Other pandas API;pandas arrays, scalars, and data types",Data types;Expressions - Columns/names;Expressions - Functions;Functions;Input/output - CSV;Input/output - Parquet,False,examples/weekly_spy_trader.py;vegas/data/data_layer.py;vegas/database/database.py;vegas/engine/engine.py
equinor/ert,a21c6bbdb345d20c471b9469bb20264a21dd70f0,Jonathan Karlsen,2025-10-23T14:44:05+02:00,Remove `polars_dataframe.to_pandas()` from test_cli.py,1,Aggregation & joins,General functions,Expressions - Functions;Functions,False,tests/ert/ui_tests/cli/test_cli.py
equinor/ert,e8fa7691001de198dd767982cb5eb30d518725dd,larsevj,2025-07-04T10:43:38+02:00,Fixup parameter viewer not adapted to using polars,2,Other / Manual,Other pandas API,Expressions - Functions;Other polars API,False,src/ert/enkf_main.py;src/ert/gui/simulation/_design_matrix_panel.py
equinor/ert,cd916ddcfd4203563f740ae6b4dd33c5063343d6,larsevj,2025-06-12T09:24:14+02:00,Use polars to read the design matrix,5,IO boundary;Aggregation & joins;Missing values;Other / Manual,General functions;Input/output;Missing values;Other pandas API,Exceptions;Expressions - Columns/names;Expressions - Functions;Functions;Input/output - Excel;Other polars API,False,src/ert/config/design_matrix.py;tests/ert/conftest.py;tests/ert/ui_tests/cli/analysis/test_design_matrix.py;tests/ert/unit_tests/config/test_ert_config.py;tests/ert/unit_tests/sensitivity_analysis/test_design_matrix.py
equinor/ert,d39ed50ec4fd98ece54da276437987de0480f515,xjules,2025-05-07T14:57:32+02:00,Make use of polars to save and load genkw parameters,1,Aggregation & joins,General functions,Expressions - Columns/names;Functions;Input/output - Parquet,False,src/ert/storage/local_ensemble.py
equinor/ert,a52cebfe34f58d25adabd0d42219ae5467833cce,Yngve S. Kristiansen,2024-10-07T10:30:54+02:00,Save & load responses as parquet,4,Aggregation & joins;Index & pandas-specific semantics,General functions;Index objects,Expressions - Columns/names;Expressions - Functions;Functions,False,src/ert/analysis/_es_update.py;src/ert/dark_storage/common.py;src/ert/data/_measured_data.py;src/ert/resources/workflows/jobs/internal-gui/scripts/gen_data_rft_export.py
eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),22,IO boundary;Aggregation & joins;Types & schema;Other / Manual,"General functions;GroupBy;Input/output;Other pandas API;pandas arrays, scalars, and data types",Expressions - Columns/names;Expressions - Functions;Functions;Input/output - Excel;Input/output - Parquet;Other polars API,False,.docker/ingest_data.py;src/bundestag/data/transform/abgeordnetenwatch/helper.py;src/bundestag/data/transform/abgeordnetenwatch/process/mandates.py;src/bundestag/data/transform/abgeordnetenwatch/process/polls.py;src/bundestag/data/transform/abgeordnetenwatch/process/votes.py;src/bundestag/data/transform/abgeordnetenwatch/transform.py;src/bundestag/data/transform/bundestag_sheets.py;src/bundestag/gui.py;src/bundestag/poll_clustering.py;src/bundestag/similarity.py;src/bundestag/vote_prediction.py;tests/conftest.py;tests/data/transform/abgeordnetenwatch/test_helper.py;tests/data/transform/process/conftest.py;tests/data/transform/process/test_mandates.py;tests/data/transform/process/test_polls.py;tests/data/transform/process/test_votes.py;tests/data/transform/test_abgeordnetenwatch.py;tests/data/transform/test_bundestag_sheets.py;tests/test_poll_clustering.py;tests/test_similarity.py;tests/test_vote_prediction.py
huggingface/datasets,5f42139a2c5583a55d34a2f60d537f5fba285c28,Patrick Smyth,2024-08-16T08:10:37-05:00,Allow polars as valid output type (#6762),1,Other / Manual,Other pandas API,Other polars API,False,src/datasets/arrow_dataset.py
hugof38/pysnaptest,63fe3a8d7edb686fe4eb4a7e4b86387af02fafa3,Liam Falconer,2025-01-02T23:02:32+00:00,Make pandas and polars support optional,2,Import/setup-only;Other / Manual,Other pandas API,Other polars API,False,python/pysnaptest/snapshot.py;tests/test_snapshots.py
ideabosque/s3_connector,4f39eb50fa56a1c660c7541ba12e1e42258d4c85,GlenZan,2025-07-09T22:12:36+08:00,use polars module to replace pandas,1,IO boundary,Input/output,Expressions - Columns/names;Expressions - Functions;Input/output - Excel,False,s3_connector/s3connector.py
indapa/SolarProduction,34276152e98cc66fb122ce1040435302a5e97a96,indapa,2025-03-06T17:19:35-08:00,refactor: migrate data loading from pandas to Polars for improved performance,1,IO boundary,Input/output,Input/output - CSV,False,Solar_Production.py
indapa/SolarProduction,6060c96abd9251ee7e1a7c464d9b64163ef6f468,indapa,2025-03-05T11:24:39-08:00,refactor: migrate data loading and filtering from pandas to Polars for improved performance,1,IO boundary;Aggregation & joins;Missing values,General functions;Input/output;Missing values,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,False,pages/Production_Over_Time.py
indapa/SolarProduction,a95fbf58d89568270beb7e8989965828829d3fbb,indapa,2025-03-04T22:00:14-08:00,refactor: migrate quarterly production plotting from pandas to Polars for improved performance,1,Aggregation & joins;Missing values,General functions;Missing values,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,False,pages/Production_Over_Time.py
indapa/SolarProduction,910a18aa549cd86577068e38bceeceaf6950ba61,indapa,2025-02-21T21:44:36-08:00,refactor: enhance cumulative and monthly production plotting with Polars for better performance,1,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,False,pages/Comparative_Production.py
indapa/SolarProduction,b1db8be37f30ea7d1d36667b8e3611c1a9093329,indapa,2025-02-18T22:21:01-08:00,refactor: migrate data processing from pandas to polars for improved performance,2,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,False,Solar_Production.py;pages/Comparative_Production.py
indian-chutney/Finance1,1dbc3ca3b78dccda60d8414173ebbfffbee08181,ZubairShaikh2515,2025-03-14T07:33:32+05:30,changed pandas to polars,1,Aggregation & joins,General functions,Expressions - Columns/names,False,helpers.py
infiniflow/infinity,ec17225907772d92326f205027e7825659f0daa5,Xwg,2023-12-12T17:15:20+08:00,Python benchmark  (#283),1,Core dataframe transforms,DataFrame,Other polars API,False,python/infinity/remote_thrift/types.py
lenvt/lxd-io,dcf228ecbd2da76f9563fbd8d4628b31769f2dc5,Lennart Vater,2025-03-28T16:09:57+01:00,Replace pandas by polars to increase speed,3,IO boundary;Other / Manual,Input/output;Other pandas API,Expressions - Columns/names;Input/output - CSV,False,lxd_io/dataset.py;lxd_io/recording.py;lxd_io/track.py
lsmoker/django-dashboards,52988c791cf66dcf72ce9dd938eda1a9bf9dbe48,LeVon Smoker,2025-09-08T08:41:57-04:00,use polars instead of pandas,1,Import/setup-only,,,False,dashboards/component/chart/serializers.py
