Test,repo,sha,author,date_iso,subject,file_path,pandas_type_all,polars_type_all,macro_primary,macro_all,macro_evidence,pandas_evidence,polars_evidence,patch_lines_file,pandas_type_all.1,polars_type_all.1,macro_all.1
No,HAILatPitt/concrete-city-of-pgh,01c6164eea319630fffccfad6639eb80fbddfc09,rossreillypitt,2025-11-24T17:04:59-05:00,"added polars, pyarrow, convert df from polars to pandas",concrete-model-building.py,Input/output,Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,29,,,
No,IBM/Hestia-GOOD,329f1e672847a3298cdf350df17ea631990494c0,RaulFD-creator,2025-03-10T10:52:46+00:00,_ Clustering accepts polars and converts to pandas,hestia/clustering.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,16,,,
No,IBM/Hestia-GOOD,329f1e672847a3298cdf350df17ea631990494c0,RaulFD-creator,2025-03-10T10:52:46+00:00,_ Clustering accepts polars and converts to pandas,hestia/reduction.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,12,,,
No,IBM/Hestia-GOOD,66d0385f5e189e68f9d623511eb9a1720b931c2e,RaulFD-creator,2024-12-17T14:14:33+00:00,__ï¸ Optim: Substitutting `pandas` for `polars`,hestia/similarity.py,Input/output;General functions,Expressions - Columns/names;Functions;Input/output - CSV,IO boundary,IO boundary;Aggregation & joins,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,200,,,
No,IBM/Hestia-GOOD,d61792da3b9bdc8abe5e76e1ac0d56ab6509522c,RaulFD-creator,2024-12-17T14:18:58+00:00,__ï¸ Optim: Substitutting `pandas` for `polars` (#82),hestia/similarity.py,Input/output;General functions,Expressions - Columns/names;Functions;Input/output - CSV,IO boundary,IO boundary;Aggregation & joins,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,200,,,
No,ML4GLand/SeqData,4bf00356daeb350c17d68a4a073c06a7ac3dc5f1,d-laub,2025-01-03T12:39:12-08:00,feat: expands the public API to accept polars or pandas dataframes as BED files.,seqdata/_io/read.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,37,,,
No,ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,seqdata/_io/bed_ops.py,Other pandas API,Expressions - Columns/names,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Expressions - Columns/names:\b(?:pl|polars)\.col\b,120,,,
No,ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,seqdata/_io/readers/bam.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,47,,,
No,ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,seqdata/_io/readers/fasta.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,43,,,
No,ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,seqdata/_io/readers/table.py,Input/output,Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,112,,,
No,ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,seqdata/_io/readers/vcf.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,50,,,
No,ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,seqdata/_io/readers/wig.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,53,,,
No,ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,seqdata/_io/utils.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,32,,,
No,ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,seqdata/types.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,13,,,
No,ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,seqdata/xarray/seqdata.py,Other pandas API,Expressions - Functions,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b,58,,,
Yes,MaastrichtU-CDS/Flyover,b36214f9eff9cfca16dbeccdf9b454287a7d0325,copilot-swe-agent[bot],2025-12-10T08:53:42+00:00,Replace pandas with polars for CSV data processing,triplifier/data_descriptor/data_descriptor_main.py,Input/output;Missing values,Expressions - Columns/names;Input/output - CSV,IO boundary,IO boundary;Missing values,pandas:Input/output->IO boundary|pandas:Missing values->Missing values,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|Missing values:\b(?:pd|pandas)\.(?:NA|NaT)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,143,,,
Yes,MaastrichtU-CDS/Flyover,b36214f9eff9cfca16dbeccdf9b454287a7d0325,copilot-swe-agent[bot],2025-12-10T08:53:42+00:00,Replace pandas with polars for CSV data processing,triplifier/data_descriptor/utils/data_preprocessing.py,General functions;Missing values,Other polars API,Aggregation & joins,Aggregation & joins;Missing values,pandas:General functions->Aggregation & joins|pandas:Missing values->Missing values,General functions:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b|Missing values:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,84,,,
Yes,MaastrichtU-CDS/Flyover,b36214f9eff9cfca16dbeccdf9b454287a7d0325,copilot-swe-agent[bot],2025-12-10T08:53:42+00:00,Replace pandas with polars for CSV data processing,triplifier/data_descriptor/utils/session_helpers.py,Input/output;Testing,Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|Testing:\b(?:pd|pandas)\.errors\.,Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,49,,,
No,NCSU-High-Powered-Rocketry-Club/AirbrakesV2,e6a7f88066024aac4191bbb427c769146ec1c87c,Harshil,2025-04-21T03:00:46-04:00,Use polars instead of pandas for perf improvements,airbrakes/mock/mock_imu.py,Input/output;General functions;Missing values,Expressions - Columns/names;Input/output - CSV,IO boundary,IO boundary;Aggregation & joins;Missing values,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:Missing values->Missing values,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b|Missing values:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,158,,,
No,NCSU-High-Powered-Rocketry-Club/AirbrakesV2,e6a7f88066024aac4191bbb427c769146ec1c87c,Harshil,2025-04-21T03:00:46-04:00,Use polars instead of pandas for perf improvements,tests/test_components/test_data_processor.py,Input/output;General functions;Missing values,Input/output - CSV,IO boundary,IO boundary;Aggregation & joins;Missing values,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:Missing values->Missing values,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b|Missing values:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b,Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,45,,,
No,NCSU-High-Powered-Rocketry-Club/AirbrakesV2,e6a7f88066024aac4191bbb427c769146ec1c87c,Harshil,2025-04-21T03:00:46-04:00,Use polars instead of pandas for perf improvements,tests/test_integration.py,Input/output;General functions;Missing values,Expressions - Columns/names;Input/output - CSV,IO boundary,IO boundary;Aggregation & joins;Missing values,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:Missing values->Missing values,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b|Missing values:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,158,,,
Yes,NeLy-EPFL/vnc_networks,04dc43a8e7bf22bd46b8608cb98705ad319a7ad2,Dominic D,2025-10-13T13:22:42+02:00,Replace pandas with polars (#70),vnc_networks/cmatrix.py,General functions;Missing values,Expressions - Columns/names;Expressions - Functions,Aggregation & joins,Aggregation & joins;Missing values,pandas:General functions->Aggregation & joins|pandas:Missing values->Missing values,General functions:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b|Missing values:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b,242,,,
Yes,NeLy-EPFL/vnc_networks,04dc43a8e7bf22bd46b8608cb98705ad319a7ad2,Dominic D,2025-10-13T13:22:42+02:00,Replace pandas with polars (#70),vnc_networks/connections.py,General functions,Expressions - Aggregation;Expressions - Columns/names;Expressions - Functions;Functions,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b,Expressions - Aggregation:\b(?:pl|polars)\.Expr\.(?:agg_groups|all|any|approx_n_unique|arg_max|arg_min|bitwise_and|bitwise_or|bitwise_xor|count|first|implode|last|len|max|max_by|mean|median|min|min_by|n_unique|nan_max|nan_min|null_count|product|quantile|std|sum|var)\b|Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,692,,,
