snippet_id,exclude_label,parse_success,gold_api_count,detected_api_count,tp_count,fp_count,fn_count,precision,recall,f1,exact_match,match_status,gold_detected_pandas_apis,latest_ast_detected_pandas_apis,true_positives,false_positives,false_negatives,unknown_methods
92e35040_query_binned_unbinned,,True,6,6,6,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.drop
pandas.DataFrame.join
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.fillna","pandas.DataFrame
pandas.DataFrame.drop
pandas.DataFrame.join
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.fillna","pandas.DataFrame
pandas.DataFrame.drop
pandas.DataFrame.join
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.fillna",,,
92e35040_query_write_csv,,True,1,1,1,0,0,1.0,1.0,1.0,yes,exact,pandas.DataFrame.to_csv,pandas.DataFrame.to_csv,pandas.DataFrame.to_csv,,,
a841955a_summarise_select,,True,0,0,0,0,0,1.0,1.0,1.0,yes,exact,,,,,,
a841955a_summarise_unmapped,,True,4,4,4,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.set_index
pandas.DataFrame.to_dict
pandas.Series.apply
pandas.read_csv","pandas.DataFrame.set_index
pandas.DataFrame.to_dict
pandas.Series.apply
pandas.read_csv","pandas.DataFrame.set_index
pandas.DataFrame.to_dict
pandas.Series.apply
pandas.read_csv",,,
d90ed416_ibis_filter,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.Series.to_list
pandas.read_csv","pandas.Series.to_list
pandas.read_csv","pandas.Series.to_list
pandas.read_csv",,,
d90ed416_ibis_isin,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.Series.isin
pandas.read_csv","pandas.Series.isin
pandas.read_csv","pandas.Series.isin
pandas.read_csv",,,abspath
d90ed416_ibis_join,,True,4,5,4,1,0,0.8,1.0,0.888889,no,partial,"pandas.DataFrame.apply
pandas.DataFrame.join
pandas.DataFrame.set_index
pandas.read_csv","pandas.DataFrame.apply
pandas.DataFrame.empty
pandas.DataFrame.join
pandas.DataFrame.set_index
pandas.read_csv","pandas.DataFrame.apply
pandas.DataFrame.join
pandas.DataFrame.set_index
pandas.read_csv",pandas.DataFrame.empty,,
adjacency_create_matrix_loop,,True,3,3,3,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.index
pandas.DataFrame.loc
pandas.Series.iloc","pandas.DataFrame.index
pandas.DataFrame.loc
pandas.Series.iloc","pandas.DataFrame.index
pandas.DataFrame.loc
pandas.Series.iloc",,,
adjacency_read_file_to_polars,,True,1,1,1,0,0,1.0,1.0,1.0,yes,exact,pandas.DataFrame.set_index,pandas.DataFrame.set_index,pandas.DataFrame.set_index,,,
774f17e7_mane_transcript_filter_row,,True,4,4,4,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.empty
pandas.DataFrame.iloc
pandas.DataFrame.loc
pandas.DataFrame.sort_values","pandas.DataFrame.empty
pandas.DataFrame.iloc
pandas.DataFrame.loc
pandas.DataFrame.sort_values","pandas.DataFrame.empty
pandas.DataFrame.iloc
pandas.DataFrame.loc
pandas.DataFrame.sort_values",,,
774f17e7_mane_transcript_parse_ac,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.sort_values
pandas.Series.apply","pandas.DataFrame.sort_values
pandas.Series.apply","pandas.DataFrame.sort_values
pandas.Series.apply",,,split
774f17e7_mane_mappings_filter_symbol,,True,3,3,3,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.loc
pandas.DataFrame.sort_values
pandas.DataFrame.to_dict","pandas.DataFrame.loc
pandas.DataFrame.sort_values
pandas.DataFrame.to_dict","pandas.DataFrame.loc
pandas.DataFrame.sort_values
pandas.DataFrame.to_dict",,,
774f17e7_mane_mappings_genomic_filter,,True,3,2,2,0,1,1.0,0.666667,0.8,no,partial,"pandas.DataFrame.sort_values
pandas.DataFrame.to_dict
pandas.Series.astype","pandas.DataFrame.sort_values
pandas.Series.astype","pandas.DataFrame.sort_values
pandas.Series.astype",,pandas.DataFrame.to_dict,
774f17e7_mane_mappings_isin,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.to_dict
pandas.Series.isin","pandas.DataFrame.to_dict
pandas.Series.isin","pandas.DataFrame.to_dict
pandas.Series.isin",,,
774f17e7_mane_mappings_load,,True,1,1,1,0,0,1.0,1.0,1.0,yes,exact,pandas.read_csv,pandas.read_csv,pandas.read_csv,,,
774f17e7_uta_database_construct,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.drop_duplicates","pandas.DataFrame
pandas.DataFrame.drop_duplicates","pandas.DataFrame
pandas.DataFrame.drop_duplicates",,,
quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration,,True,1,1,1,0,0,1.0,1.0,1.0,yes,exact,pandas.DataFrame,pandas.DataFrame,pandas.DataFrame,,,
quant_backtester_calculate_returns_migration,,True,8,8,8,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.index
pandas.Series.cumprod
pandas.Series.fillna
pandas.Series.pct_change
pandas.Series.replace
pandas.Series.shift","pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.index
pandas.Series.cumprod
pandas.Series.fillna
pandas.Series.pct_change
pandas.Series.replace
pandas.Series.shift","pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.index
pandas.Series.cumprod
pandas.Series.fillna
pandas.Series.pct_change
pandas.Series.replace
pandas.Series.shift",,,
quant_backtester_performance_metrics_migration,,True,5,5,5,0,0,1.0,1.0,1.0,yes,exact,"pandas.Series.cummax
pandas.Series.iloc
pandas.Series.mean
pandas.Series.min
pandas.Series.std","pandas.Series.cummax
pandas.Series.iloc
pandas.Series.mean
pandas.Series.min
pandas.Series.std","pandas.Series.cummax
pandas.Series.iloc
pandas.Series.mean
pandas.Series.min
pandas.Series.std",,,
b36214f9_preprocess_attrs_registry,,True,1,6,1,5,0,0.166667,1.0,0.285714,no,partial,pandas.DataFrame.attrs,"pandas.DataFrame
pandas.DataFrame.attrs
pandas.DataFrame.columns
pandas.DataFrame.copy
pandas.DataFrame.shape
pandas.Series.get",pandas.DataFrame.attrs,"pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.copy
pandas.DataFrame.shape
pandas.Series.get",,
b36214f9_preprocess_columns_tolist,,True,4,4,4,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.columns
pandas.Index.to_list
pandas.isna","pandas.DataFrame
pandas.DataFrame.columns
pandas.Index.to_list
pandas.isna","pandas.DataFrame
pandas.DataFrame.columns
pandas.Index.to_list
pandas.isna",,,
b36214f9_preprocess_shape_rename,,True,5,5,5,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.attrs
pandas.DataFrame.columns
pandas.DataFrame.copy
pandas.DataFrame.shape","pandas.DataFrame
pandas.DataFrame.attrs
pandas.DataFrame.columns
pandas.DataFrame.copy
pandas.DataFrame.shape","pandas.DataFrame
pandas.DataFrame.attrs
pandas.DataFrame.columns
pandas.DataFrame.copy
pandas.DataFrame.shape",,,
b36214f9_session_dropna_unique,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.Series.dropna
pandas.Series.unique","pandas.Series.dropna
pandas.Series.unique","pandas.Series.dropna
pandas.Series.unique",,,
b36214f9_session_read_csv,,True,5,5,5,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.columns
pandas.DataFrame.empty
pandas.Series.dropna
pandas.Series.unique
pandas.read_csv","pandas.DataFrame.columns
pandas.DataFrame.empty
pandas.Series.dropna
pandas.Series.unique
pandas.read_csv","pandas.DataFrame.columns
pandas.DataFrame.empty
pandas.Series.dropna
pandas.Series.unique
pandas.read_csv",,,
vnc_cmatrix_loc_filter_item,,True,5,5,5,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.copy
pandas.DataFrame.loc
pandas.Series.isin
pandas.Series.to_list
pandas.Series.values","pandas.DataFrame.copy
pandas.DataFrame.loc
pandas.Series.isin
pandas.Series.to_list
pandas.Series.values","pandas.DataFrame.copy
pandas.DataFrame.loc
pandas.Series.isin
pandas.Series.to_list
pandas.Series.values",,,
vnc_cmatrix_lookup_init,,True,4,6,4,2,0,0.666667,1.0,0.8,no,partial,"pandas.DataFrame.copy
pandas.DataFrame.drop
pandas.Series.isin
pandas.Series.values","pandas.DataFrame
pandas.DataFrame.copy
pandas.DataFrame.drop
pandas.DataFrame.shape
pandas.Series.isin
pandas.Series.values","pandas.DataFrame.copy
pandas.DataFrame.drop
pandas.Series.isin
pandas.Series.values","pandas.DataFrame
pandas.DataFrame.shape",,"csr_matrix
issparse"
vnc_cmatrix_reindex,,True,2,4,1,3,1,0.25,0.5,0.333333,no,partial,"pandas.DataFrame.dropna
pandas.DataFrame.sort_values","pandas.DataFrame.copy
pandas.DataFrame.shape
pandas.DataFrame.sort_values
pandas.Series.count",pandas.DataFrame.sort_values,"pandas.DataFrame.copy
pandas.DataFrame.shape
pandas.Series.count",pandas.DataFrame.dropna,
vnc_cmatrix_sort_tolist,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.sort_values
pandas.Series.to_list","pandas.DataFrame.sort_values
pandas.Series.to_list","pandas.DataFrame.sort_values
pandas.Series.to_list",,,
vnc_cmatrix_uid_to_index,,False,3,0,0,0,3,0.0,0.0,0.0,no,false-negative only,"pandas.DataFrame.loc
pandas.Series.values
pandas.isna",,,,"pandas.DataFrame.loc
pandas.Series.values
pandas.isna",
scoring_compare_methylation_pattern_migration,,True,5,5,5,0,0,1.0,1.0,1.0,yes,exact,"DataFrameGroupBy.agg
pandas.DataFrame.groupby
pandas.DataFrame.reset_index
pandas.NamedAgg
pandas.Series.isna","DataFrameGroupBy.agg
pandas.DataFrame.groupby
pandas.DataFrame.reset_index
pandas.NamedAgg
pandas.Series.isna","DataFrameGroupBy.agg
pandas.DataFrame.groupby
pandas.DataFrame.reset_index
pandas.NamedAgg
pandas.Series.isna",,,
scoring_compare_methylation_pattern_multiprocessed_migration,,True,3,4,3,1,0,0.75,1.0,0.857143,no,partial,"pandas.DataFrame
pandas.DataFrame.rename
pandas.concat","pandas.DataFrame
pandas.DataFrame.rename
pandas.Series.unique
pandas.concat","pandas.DataFrame
pandas.DataFrame.rename
pandas.concat",pandas.Series.unique,,
scoring_define_mean_methylation_thresholds_migration,,True,1,1,1,0,0,1.0,1.0,1.0,yes,exact,pandas.Series.astype,pandas.Series.astype,pandas.Series.astype,,,
scoring_process_bin_contig_merge_migration,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.Series.sum
pandas.merge","pandas.Series.sum
pandas.merge","pandas.Series.sum
pandas.merge",,,
1e52b4e7_concat_to_frame,,True,1,1,1,0,0,1.0,1.0,1.0,yes,exact,pandas.concat,pandas.concat,pandas.concat,,,
1ec015da_to_rank,,True,3,4,3,1,0,0.75,1.0,0.857143,no,partial,"pandas.DataFrame
pandas.DataFrame.set_index
pandas.DataFrame.sort_values","pandas.DataFrame
pandas.DataFrame.astype
pandas.DataFrame.set_index
pandas.DataFrame.sort_values","pandas.DataFrame
pandas.DataFrame.set_index
pandas.DataFrame.sort_values",pandas.DataFrame.astype,,
29097c0c_train_iloc_filter,,True,7,7,5,2,2,0.714286,0.714286,0.714286,no,partial,"pandas.DataFrame
pandas.DataFrame.iloc
pandas.DataFrame.set_index
pandas.Series.index
pandas.Series.rename
pandas.concat
pandas.merge","pandas.DataFrame
pandas.DataFrame.iloc
pandas.DataFrame.index
pandas.DataFrame.rename
pandas.DataFrame.set_index
pandas.concat
pandas.merge","pandas.DataFrame
pandas.DataFrame.iloc
pandas.DataFrame.set_index
pandas.concat
pandas.merge","pandas.DataFrame.index
pandas.DataFrame.rename","pandas.Series.index
pandas.Series.rename",
29097c0c_train_merge_concat,,False,6,0,0,0,6,0.0,0.0,0.0,no,false-negative only,"pandas.DataFrame
pandas.DataFrame.index
pandas.DataFrame.rename
pandas.DataFrame.set_index
pandas.concat
pandas.merge",,,,"pandas.DataFrame
pandas.DataFrame.index
pandas.DataFrame.rename
pandas.DataFrame.set_index
pandas.concat
pandas.merge",
29097c0c_to_dataset_read_wrap,,True,4,4,4,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.columns
pandas.DataFrame.fillna
pandas.Series.apply
pandas.read_csv","pandas.DataFrame.columns
pandas.DataFrame.fillna
pandas.Series.apply
pandas.read_csv","pandas.DataFrame.columns
pandas.DataFrame.fillna
pandas.Series.apply
pandas.read_csv",,,
7e55b00b_sample_empty_df,,True,3,3,3,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.sample","pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.sample","pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.sample",,,
dcff23d0_filter_concat_all,,True,3,3,3,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.all
pandas.DataFrame.loc
pandas.concat","pandas.DataFrame.all
pandas.DataFrame.loc
pandas.concat","pandas.DataFrame.all
pandas.DataFrame.loc
pandas.concat",,,
e3227f4f_split_empty_df,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.columns","pandas.DataFrame
pandas.DataFrame.columns","pandas.DataFrame
pandas.DataFrame.columns",,,
ed3b46c0_base_pattern_iloc,,True,3,2,2,0,1,1.0,0.666667,0.8,no,partial,"pandas.DataFrame.iloc
pandas.Series.iloc
pandas.Series.to_numpy","pandas.DataFrame.iloc
pandas.Series.to_numpy","pandas.DataFrame.iloc
pandas.Series.to_numpy",,pandas.Series.iloc,reshape
ed3b46c0_base_pattern_pred_concat,,False,6,0,0,0,6,0.0,0.0,0.0,no,false-negative only,"pandas.DataFrame
pandas.DataFrame.set_index
pandas.Series.index
pandas.Series.rename
pandas.concat
pandas.merge",,,,"pandas.DataFrame
pandas.DataFrame.set_index
pandas.Series.index
pandas.Series.rename
pandas.concat
pandas.merge",
ed3b46c0_classification_iloc,,True,3,2,2,0,1,1.0,0.666667,0.8,no,partial,"pandas.DataFrame.iloc
pandas.Series.iloc
pandas.Series.to_numpy","pandas.DataFrame.iloc
pandas.Series.to_numpy","pandas.DataFrame.iloc
pandas.Series.to_numpy",,pandas.Series.iloc,reshape
ed3b46c0_classification_pred_concat,,False,6,0,0,0,6,0.0,0.0,0.0,no,false-negative only,"pandas.DataFrame
pandas.DataFrame.set_index
pandas.Series.index
pandas.Series.to_numpy
pandas.concat
pandas.merge",,,,"pandas.DataFrame
pandas.DataFrame.set_index
pandas.Series.index
pandas.Series.to_numpy
pandas.concat
pandas.merge",
f11c29ae_dataset_df_clone,,True,4,5,3,2,1,0.6,0.75,0.666667,no,partial,"pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.copy
pandas.Index.to_list","pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.copy
pandas.DataFrame.loc
pandas.Series.to_list","pandas.DataFrame
pandas.DataFrame.columns
pandas.DataFrame.copy","pandas.DataFrame.loc
pandas.Series.to_list",pandas.Index.to_list,
f11c29ae_dataset_loc_select,,True,3,3,3,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.copy
pandas.DataFrame.loc","pandas.DataFrame
pandas.DataFrame.copy
pandas.DataFrame.loc","pandas.DataFrame
pandas.DataFrame.copy
pandas.DataFrame.loc",,,
f11c29ae_dataset_save_load,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.to_csv
pandas.read_csv","pandas.DataFrame.to_csv
pandas.read_csv","pandas.DataFrame.to_csv
pandas.read_csv",,,"exists
open"
f11c29ae_dataset_to_pandas,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.copy","pandas.DataFrame
pandas.DataFrame.copy","pandas.DataFrame
pandas.DataFrame.copy",,,
99aff9e0_rename_columns_empty_df,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame
pandas.DataFrame.columns","pandas.DataFrame
pandas.DataFrame.columns","pandas.DataFrame
pandas.DataFrame.columns",,,
0ffdf231_noaa_ghcn_inventory,,True,1,1,1,0,0,1.0,1.0,1.0,yes,exact,pandas.read_fwf,pandas.read_fwf,pandas.read_fwf,,,
0ffdf231_noaa_ghcn_stations,,True,1,1,1,0,0,1.0,1.0,1.0,yes,exact,pandas.read_fwf,pandas.read_fwf,pandas.read_fwf,,,
3c49cad1_bench_interp_cols,,True,1,2,1,1,0,0.5,1.0,0.666667,no,partial,pandas.Series.to_list,"pandas.Series.to_list
pandas.Series.values",pandas.Series.to_list,pandas.Series.values,,
3c49cad1_bench_interp_filter,,True,2,3,2,1,0,0.666667,1.0,0.8,no,partial,"pandas.Series.astype
pandas.Series.values","pandas.Series.astype
pandas.Series.to_list
pandas.Series.values","pandas.Series.astype
pandas.Series.values",pandas.Series.to_list,,
3c49cad1_bench_interp_time_regular,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.dropna
pandas.Series.to_list","pandas.DataFrame.dropna
pandas.Series.to_list","pandas.DataFrame.dropna
pandas.Series.to_list",,,
3c49cad1_bench_interp_time_rmse,,True,5,5,5,0,0,1.0,1.0,1.0,yes,exact,"pandas.Series
pandas.Series.dropna
pandas.Series.reset_index
pandas.Series.size
pandas.Series.sum","pandas.Series
pandas.Series.dropna
pandas.Series.reset_index
pandas.Series.size
pandas.Series.sum","pandas.Series
pandas.Series.dropna
pandas.Series.reset_index
pandas.Series.size
pandas.Series.sum",,,
3c49cad1_bench_precip_pct,,True,0,0,0,0,0,1.0,1.0,1.0,yes,exact,,,,,,
3c49cad1_bench_precip_regular,,True,2,4,2,2,0,0.5,1.0,0.666667,no,partial,"pandas.DataFrame.dropna
pandas.Series.to_list","pandas.DataFrame.all
pandas.DataFrame.dropna
pandas.DataFrame.pop
pandas.Series.to_list","pandas.DataFrame.dropna
pandas.Series.to_list","pandas.DataFrame.all
pandas.DataFrame.pop",,difference
3c49cad1_timeseries_extract,,True,3,1,1,0,2,1.0,0.333333,0.5,no,partial,"pandas.DataFrame.loc
pandas.Series.name
pandas.Series.values",pandas.DataFrame.loc,pandas.DataFrame.loc,,"pandas.Series.name
pandas.Series.values",
3c49cad1_timeseries_gain,,True,9,8,6,2,3,0.75,0.666667,0.705882,no,partial,"pandas.DataFrame
pandas.DataFrame.apply
pandas.DataFrame.loc
pandas.Series
pandas.Series.dropna
pandas.Series.name
pandas.Series.size
pandas.Series.sum
pandas.Series.values","pandas.DataFrame
pandas.DataFrame.apply
pandas.DataFrame.loc
pandas.DataFrame.size
pandas.DataFrame.sum
pandas.Series
pandas.Series.name
pandas.Series.values","pandas.DataFrame
pandas.DataFrame.apply
pandas.DataFrame.loc
pandas.Series
pandas.Series.name
pandas.Series.values","pandas.DataFrame.size
pandas.DataFrame.sum","pandas.Series.dropna
pandas.Series.size
pandas.Series.sum",
3c49cad1_mosmix_access_dataframe,,True,1,2,1,1,0,0.5,1.0,0.666667,no,partial,pandas.DataFrame.from_dict,"pandas.DataFrame
pandas.DataFrame.from_dict",pandas.DataFrame.from_dict,pandas.DataFrame,,
3c49cad1_mosmix_access_datetime,,True,2,2,2,0,0,1.0,1.0,1.0,yes,exact,"pandas.DatetimeIndex
pandas.Timestamp","pandas.DatetimeIndex
pandas.Timestamp","pandas.DatetimeIndex
pandas.Timestamp",,,
3c49cad1_radar_index_radolan,,True,3,1,1,0,2,1.0,0.333333,0.5,no,partial,"pandas.DataFrame.copy
pandas.Series.str.contains
pandas.Series.str.endswith",pandas.DataFrame.copy,pandas.DataFrame.copy,,"pandas.Series.str.contains
pandas.Series.str.endswith",
3c49cad1_radar_index_sweeps,,True,1,0,0,0,1,0.0,0.0,0.0,no,false-negative only,pandas.Series.str.endswith,,,,pandas.Series.str.endswith,
3c49cad1_radar_sites_cols,,True,6,8,6,2,0,0.75,1.0,0.857143,no,partial,"pandas.DataFrame.drop
pandas.DataFrame.insert
pandas.DataFrame.rename
pandas.DataFrame.reset_index
pandas.Series.apply
pandas.Series.values","pandas.DataFrame.apply
pandas.DataFrame.drop
pandas.DataFrame.insert
pandas.DataFrame.rename
pandas.DataFrame.replace
pandas.DataFrame.reset_index
pandas.Series.apply
pandas.Series.values","pandas.DataFrame.drop
pandas.DataFrame.insert
pandas.DataFrame.rename
pandas.DataFrame.reset_index
pandas.Series.apply
pandas.Series.values","pandas.DataFrame.apply
pandas.DataFrame.replace",,
3c49cad1_radar_sites_dicts,,True,1,1,1,0,0,1.0,1.0,1.0,yes,exact,pandas.DataFrame.to_dict,pandas.DataFrame.to_dict,pandas.DataFrame.to_dict,,,
3c49cad1_geosphere_all,,True,3,3,3,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.drop
pandas.DataFrame.rename
pandas.read_csv","pandas.DataFrame.drop
pandas.DataFrame.rename
pandas.read_csv","pandas.DataFrame.drop
pandas.DataFrame.rename
pandas.read_csv",,,
