snippet_id,pandas_label_all,polars_label_all,macro_all,migration_pattern_note
xavctn__img2table__beda90bd__src__img2table__ocr__data.py__img2table_azure_concat_lazy_migration,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace pandas concat with Polars concat and convert the combined result to a LazyFrame.
xavctn__img2table__beda90bd__src__img2table__ocr__data.py__img2table_azure_list_dfs_migration,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace pandas DataFrame construction from word dictionaries with pl.from_dicts.
xavctn__img2table__beda90bd__src__img2table__ocr__google_vision.py__img2table_google_vision_concat_lazy_migration,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace pandas concat with Polars concat and convert the combined result to a LazyFrame.
xavctn__img2table__beda90bd__src__img2table__ocr__google_vision.py__img2table_google_vision_list_dfs_migration,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace mapping dictionaries through the pandas DataFrame constructor with pl.from_dicts.
xavctn__img2table__beda90bd__src__img2table__ocr__pdf.py__img2table_pdf_concat_lazy_migration,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace an eagerly materialised pandas concatenation result with Polars concat over component frames and lazy evaluation.
xavctn__img2table__beda90bd__src__img2table__ocr__pdf.py__img2table_pdf_list_dfs_migration,"DataFrame, General functions",Core dataframe transforms,"Core dataframe transforms, Aggregation & combine",Decompose pandas DataFrame construction plus concat into Polars dictionary-to-frame construction followed by a separate concat step.
xavctn__img2table__beda90bd__src__img2table__ocr__tesseract.py__tesseract_ocr_concat_lazy,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace pandas concat with Polars concat and convert the combined result to a LazyFrame.
xavctn__img2table__beda90bd__src__img2table__ocr__tesseract.py__tesseract_ocr_from_dicts,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace pandas DataFrame construction from element dictionaries with pl.from_dicts.
xavctn__img2table__efc0581f__src__img2table__ocr__aws_textract.py__efc0581f_textract_concat_lazy,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace pandas concat with Polars concat and convert the combined result to a LazyFrame.
xavctn__img2table__efc0581f__src__img2table__ocr__aws_textract.py__efc0581f_textract_from_dicts,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace mapping dictionaries through the pandas DataFrame constructor with pl.from_dicts.
xavctn__img2table__efc0581f__src__img2table__ocr__azure.py__efc0581f_azure_concat_lazy,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace pandas concat with Polars concat and convert the combined result to a LazyFrame.
xavctn__img2table__efc0581f__src__img2table__ocr__azure.py__efc0581f_azure_from_dicts,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace pandas DataFrame construction from word dictionaries with pl.from_dicts.
xavctn__img2table__efc0581f__src__img2table__ocr__data.py__efc0581f_data_assign_bbox,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace pandas assign and row-wise min/max calculations with Polars literals and expression-based horizontal min/max columns.
xavctn__img2table__efc0581f__src__img2table__ocr__data.py__efc0581f_data_filter_page,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace pandas boolean row indexing with a Polars filter expression.
xavctn__img2table__efc0581f__src__img2table__ocr__data.py__efc0581f_data_groupby_agg_text,"DataFrame, Series, GroupBy, UDF / apply / map","DataFrame/GroupBy, Core dataframe transforms","Aggregation & combine, UDF / custom logic rewrite","Replace pandas named group aggregation, string-joining lambda, and sorting with Polars group aggregation, list handling, and sorting."
xavctn__img2table__efc0581f__src__img2table__ocr__data.py__efc0581f_data_merge_cross,"DataFrame, Missing values","Core dataframe transforms, Missing values","Core dataframe transforms, Missing / null semantics, Aggregation & combine","Replace chained pandas filters, null checks, and cross merge with Polars expressions and a cross join."
xavctn__img2table__efc0581f__src__img2table__ocr__google_vision.py__efc0581f_vision_concat_lazy,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace pandas concat with Polars concat and convert the combined result to a LazyFrame.
xavctn__img2table__efc0581f__src__img2table__ocr__google_vision.py__efc0581f_vision_from_dicts,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace mapping dictionaries through the pandas DataFrame constructor with pl.from_dicts.
xavctn__img2table__efc0581f__src__img2table__ocr__pdf.py__efc0581f_pdf_concat_lazy,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace an eagerly materialised pandas concatenation result with Polars concat over component frames and lazy evaluation.
xavctn__img2table__efc0581f__src__img2table__ocr__pdf.py__efc0581f_pdf_from_dicts,"DataFrame, General functions",Core dataframe transforms,"Core dataframe transforms, Aggregation & combine",Decompose pandas DataFrame construction plus concat into Polars dictionary-to-frame construction followed by a separate concat step.
xavctn__img2table__efc0581f__src__img2table__ocr__tesseract.py__efc0581f_tesseract_concat_lazy,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace pandas concat with Polars concat and convert the combined result to a LazyFrame.
xavctn__img2table__efc0581f__src__img2table__ocr__tesseract.py__efc0581f_tesseract_from_dicts,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace pandas DataFrame construction from element dictionaries with pl.from_dicts.
xavctn__img2table__efc0581f__src__img2table__ocr__tesseract.py__efc0581f_tesseract_nan_none,Missing values,Missing values,Missing / null semantics,Replace a NumPy NaN sentinel used in pandas-oriented data with None for Polars null semantics.
xavctn__img2table__efc0581f__src__img2table__tables__processing__cells__deduplication.py__efc0581f_dedup_nested_cross_join,"DataFrame, Index objects",Core dataframe transforms,"Aggregation & combine, Index / row semantics / pandas-specific behavior","Replace reset_index plus pandas cross merge and boolean indexing with Polars clone, cross join, and filters over an explicit index column."
xavctn__img2table__efc0581f__src__img2table__tables__processing__cells__deduplication.py__efc0581f_dedup_redundant_filter,"DataFrame, Series",Core dataframe transforms,"Core dataframe transforms, Index / row semantics / pandas-specific behavior",Replace pandas duplicate extraction and label-based row dropping with Polars unique list extraction and anti-membership filtering over a row counter.
xavctn__img2table__efc0581f__src__img2table__tables__processing__cells__deduplication.py__efc0581f_dedup_vertical_sort_cumcount,"DataFrame, GroupBy","DataFrame/GroupBy, Core dataframe transforms","Aggregation & combine, Core dataframe transforms",Replace pandas grouped cumcount after sorting with a Polars windowed cumulative sum and filter.
xavctn__img2table__efc0581f__src__img2table__tables__processing__cells__identification.py__efc0581f_ident_explode_cells,"DataFrame, Series, Index objects, Missing values","Core dataframe transforms, Missing values","Reshape, Index / row semantics / pandas-specific behavior, Missing / null semantics","Replace pandas explode, reset_index, list expansion, and null filtering with Polars explode, window shift, filter, and select expressions."
xavctn__img2table__efc0581f__src__img2table__tables__processing__cells__identification.py__efc0581f_ident_from_dicts_cross,"DataFrame, Series, Index objects, GroupBy, General functions, Missing values","Core dataframe transforms, DataFrame/GroupBy, Lazy execution, Missing values","Core dataframe transforms, Aggregation & combine, Reshape, Index / row semantics / pandas-specific behavior, Lazy execution / evaluation strategy","Rewrite a multi-stage pandas geometry pipeline using Polars dictionary construction, lazy frames, cross joins, grouped aggregation, explode, and expression columns."
xavctn__img2table__efc0581f__src__img2table__tables__processing__cells__identification.py__efc0581f_ident_with_columns_conditions,Series,Core dataframe transforms,Core dataframe transforms,Replace pandas column assignment and Series arithmetic/absolute-value conditions with a vectorised Polars with_columns expression set.
xavctn__img2table__efc0581f__src__img2table__tables__processing__lines.py__efc0581f_lines_filter_words,"DataFrame, Series, Missing values","Core dataframe transforms, Missing values","Core dataframe transforms, Missing / null semantics",Replace pandas boolean indexing and isna logic with Polars filters; the migrated predicate changes how null confidence values are retained.
xavctn__img2table__efc0581f__src__img2table__tables__processing__lines.py__efc0581f_lines_from_dicts_lazy,"DataFrame, General functions","Core dataframe transforms, Lazy execution","Core dataframe transforms, Lazy execution / evaluation strategy","Replace pandas DataFrame construction, row-wise maximum via concat, assignments, and column renaming with a lazy Polars expression pipeline."
xavctn__img2table__efc0581f__src__img2table__tables__processing__lines.py__efc0581f_lines_groupby_filter,"DataFrame, Series, GroupBy","DataFrame/GroupBy, Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy","Replace pandas grouped aggregation, reset_index, filtering, and values-to-list extraction with Polars grouping, filtering, collection, and Series conversion."
