batch,snippet_id,func_name,l1_raw,l2_raw,l3_raw,notebook_match,generated_code_match,function_match,output_match,fixture_match,result_alignment,oracle_valid,primary_layer,primary_category,cascade,evaluation_induced,evidence,review_status
2,0ffdf231_noaa_ghcn_stations,noaa_ghcn_stations,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,1ec015da_to_rank,to_rank,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,29097c0c_to_dataset_read_wrap,to_dataset_read_wrap,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,both sides return a callable; L3 branch and metadata checks pass,no observed migration failure; comparison unsupported
2,29097c0c_train_iloc_filter,train_iloc_filter,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 and L3 cascade,no,"Generated code calls Polars with_row_index on test_ds.y/test_ds.w, which are pandas DataFrames; oracle succeeds.",genuine migration failure
2,29097c0c_train_merge_concat,train_merge_concat,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 and L3 cascade,no,Generated code calls Polars with_row_index on pandas-backed Dataset properties; oracle succeeds.,genuine migration failure
2,3c49cad1_bench_interp_cols,bench_interp_cols,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,3c49cad1_bench_interp_filter,bench_interp_filter,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,3c49cad1_bench_interp_time_regular,bench_interp_time_regular,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,3c49cad1_bench_interp_time_rmse,bench_interp_time_rmse,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,3c49cad1_bench_precip_pct,bench_precip_pct,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,3c49cad1_bench_precip_regular,bench_precip_regular,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 and L3 cascade,no,Generated branch receives the intended Polars fixture but calls pl.from_pandas on an already-Polars DataFrame.,genuine migration failure
2,3c49cad1_geosphere_all,geosphere_all,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,3c49cad1_geosphere_collect,geosphere_collect,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,3c49cad1_mosmix_access_dataframe,mosmix_access_dataframe,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,3c49cad1_mosmix_access_datetime,mosmix_access_datetime,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,missing one or more steps,none; L3 smoke is too weak to detect missing output,no,"Generated expression is not returned, so the wrapper returns None while the oracle returns a DatetimeIndex.",genuine migration failure
2,3c49cad1_radar_index_radolan,radar_index_radolan,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 and L3 cascade,no,Generated str.ends_with receives a tuple that Polars interprets as a list expression and cannot cast; oracle succeeds.,genuine migration failure
2,3c49cad1_radar_index_sweeps,radar_index_sweeps,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,both sides return/mutate without a comparable DataFrame output; branch test passes,no observed migration failure; comparison unsupported
2,7e55b00b_sample_empty_df,sample_empty_df,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,99aff9e0_rename_columns_empty_df,rename_columns_empty_df,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,schema/column-contract mismatch; missing rename step,L3 failures repeat the same missing suffix behavior,raw wrapper mismatch corrected before final classification,"After restoring the audited (df, suffix) wrapper, generated code runs but leaves columns unchanged; oracle returns suffixed columns. The test's L1 assertion is behavioral, so the primary failure is L2 rather than execution.",genuine migration failure after harness correction
2,dcff23d0_filter_concat_all,filter_concat_all,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 and L3 cascade,no,Generated code horizontally concatenates Series with a concat strategy unsupported for Series; oracle succeeds.,genuine migration failure
2,e3227f4f_split_empty_df,split_empty_df,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,both sides return a callable; four branch/edge checks pass,no observed migration failure; comparison unsupported
2,ed3b46c0_base_pattern_iloc,base_pattern_iloc,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,ed3b46c0_base_pattern_pred_concat,base_pattern_pred_concat,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,"Generated code contains literal Ellipsis placeholders in rename(...), causing execution failure; oracle succeeds.",genuine migration failure
2,ed3b46c0_classification_iloc,classification_iloc,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,ed3b46c0_classification_pred_concat,classification_pred_concat,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,"Generated code joins against base_df before assigning it, causing UnboundLocalError; oracle succeeds.",genuine migration failure
2,f11c29ae_dataset_df_clone,dataset_df_clone,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,f11c29ae_dataset_loc_select,dataset_loc_select,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
2,f11c29ae_dataset_save_load,dataset_save_load,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,standalone class-method body is represented by an explicit NotImplementedError wrapper,no observed migration failure; comparison unsupported
2,f11c29ae_dataset_to_pandas,dataset_to_pandas,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and behavioral/edge comparisons pass.",validated pass
3,3c49cad1_radar_sites_cols,radar_sites_cols,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,3c49cad1_radar_sites_dicts,radar_sites_dicts,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,3c49cad1_timeseries_extract,timeseries_extract,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 and L3 cascade,no,Generated code accesses .values on a Polars Series; oracle succeeds.,genuine migration failure
3,3c49cad1_timeseries_gain,timeseries_gain,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_embedder_frame,embedder_frame,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,empty-mapping edge comparison passes but is labelled L2,migration passed available checks; L3 marker needs correction
3,8017f91b_eval_hybrid_concat_sort,eval_hybrid_concat_sort,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_eval_hybrid_load,eval_hybrid_load,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,both sides return no comparable DataFrame output; edge smoke passes,no observed migration failure; comparison unsupported
3,8017f91b_hybrid_score_concat,hybrid_score_concat,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_hybrid_score_frame,hybrid_score_frame,pass,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,missing one or more steps / return-type mismatch,L3 cascade,no,Generated wrapper returns None while the oracle returns a DataFrame.,genuine migration failure
3,8017f91b_input_loc_col,input_loc_col,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_input_loc_index_item,input_loc_index_item,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,missing one or more steps / return-value mismatch,none; L3 exceptional branches pass,no,Generated output is None while the oracle returns index item 101.,genuine migration failure
3,8017f91b_io_parquet,io_parquet,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,roundtrip edge comparison passes but marker begins with L2,migration passed available checks; L3 marker needs correction
3,8017f91b_model_data_lang_loc_filter,model_data_lang_loc_filter,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,both sides return no comparable DataFrame output; edge smoke passes,no observed migration failure; comparison unsupported
3,8017f91b_model_data_loc_filter,model_data_loc_filter,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,both sides return no comparable DataFrame output; edge smoke passes,no observed migration failure; comparison unsupported
3,8017f91b_pairwise_cosine_loc,pairwise_cosine_loc,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_pairwise_loc_filter,pairwise_loc_filter,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_precompute_cross_join,precompute_cross_join,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,incorrect transformation logic,none; L3 empty-input check passes,no,Generated document_id values differ from the oracle.,genuine migration failure
3,8017f91b_precompute_id_cross_frame,precompute_id_cross_frame,fail,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,schema/column construction error,L2 cascade; L3 empty-input branch passes independently,no,Generated code creates duplicate column name index; oracle succeeds.,genuine migration failure
3,8c71f3c7_attr_getter_unseen_frame,attr_getter_unseen_frame,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8c71f3c7_attr_getter_unseen_iter,attr_getter_unseen_iter,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated code has mixed/inconsistent indentation and cannot be safely normalized; oracle succeeds.,genuine migration failure
3,8c71f3c7_citation_models_fillna,citation_models_fillna,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,"partial-null, all-null, and empty-frame edge checks pass but markers begin with L2",migration passed available checks; L3 marker needs correction
3,a52cebfe_common_get_observations,common_get_observations,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_common_summary_filter,common_summary_filter,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_es_update_pivot_join,es_update_pivot_join,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_es_update_scaling_factors,es_update_scaling_factors,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_measured_data_pivot_join,measured_data_pivot_join,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_rft_concat_write,rft_concat_write,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_rft_obs_join,rft_obs_join,fail,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,type or runtime error,L2 cascade; L3 no-realizations branch passes independently,no,Generated code passes an integer where Polars requires a string column name; oracle succeeds.,genuine migration failure
3,cb25a1c5_wsv_pegel,wsv_pegel,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,outputs are LazyFrame/non-DataFrame under the helper; empty-JSON edge smoke passes,no observed migration failure; comparison unsupported
3,e8fa7691_design_matrix_model,design_matrix_model,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,schema/header contract mismatch,none; L3 empty-input check passes,no,"Rows match, but generated headers are ['0','1','2'] instead of ['run_a','run_b','run_c'].",genuine migration failure
4,142b5bcb_tools_relocate,tools_relocate,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,16645382_exp_stats_col_assign,exp_stats_col_assign,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,16645382_exp_stats_rename,exp_stats_rename,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,287a28d8_col_ends_with,col_ends_with,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,287a28d8_col_matches,col_matches,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,287a28d8_col_starts_with,col_starts_with,pass,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,invalid target API or container usage,L3 cascade,no,Generated callable indexes the Python list data.columns with a list of booleans; standard and edge invocations raise TypeError while the oracle succeeds.,genuine migration failure
4,325e7c2b_dates_pol_interval,dates_pol_interval,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,4bb33aa8_trx_stats_isin,trx_stats_isin,fail,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 cascade; L3 independent pass,no,Generated code has inconsistent indentation and cannot be compiled; the oracle compiles and the separate missing-column edge branch passes.,genuine migration failure
4,6f1c2684_datasets_read_csv,datasets_read_csv,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,value or datetime mismatch,none,no,Generated and oracle outputs differ in issue_date under the representative input; the edge check passes.,genuine migration failure
4,8bb7bc3a_expose_isin,expose_isin,fail,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 cascade; L3 independent pass,no,Generated code has inconsistent indentation and cannot be compiled; the oracle compiles and the separate edge branch passes.,genuine migration failure
4,8c71f3c7_citation_models_rank,citation_models_rank,fail,fail,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 cascade,no,Generated migration calls Polars with_columns on a pandas DataFrame; the oracle succeeds and no target-specific L3 result is available.,genuine migration failure
4,8c71f3c7_document_info_tolist,document_info_tolist,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_embedder_frame,embedder_frame,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,The available empty-mapping check passes but is emitted with an L2 marker rather than L3.,migration passed available checks; L3 marker needs correction
4,8c71f3c7_hybrid_score_concat,hybrid_score_concat,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_hybrid_scorer_citation_index,hybrid_scorer_citation_index,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated code has inconsistent indentation and cannot be compiled while the oracle is runnable.,genuine migration failure
4,8c71f3c7_hybrid_scorer_language_index,hybrid_scorer_language_index,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated code has inconsistent indentation and cannot be compiled while the oracle is runnable.,genuine migration failure
4,8c71f3c7_input_converter_index,input_converter_index,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,missing return or step,none,no,The oracle returns 101 but the generated implementation returns None on the representative input; the edge check passes.,genuine migration failure
4,8c71f3c7_input_converter_loc,input_converter_loc,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_model_choice_load,model_choice_load,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_pairwise_loc_colname,pairwise_loc_colname,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated file executes migration statements at module scope with unresolved df and label variables and mixes pandas Index construction with a Polars expression.,genuine migration failure
4,8c71f3c7_pairwise_loc_item,pairwise_loc_item,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated file executes migration statements at module scope with unresolved df and label variables and mixes pandas Index construction with a Polars expression.,genuine migration failure
4,8c71f3c7_precompute_df_construct,precompute_df_construct,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,Both implementations run but the harness has no supported comparable output for L2; the target-specific edge smoke check passes.,no observed migration failure; comparison unsupported
4,8c71f3c7_s4_combine_load_concat_write,s4_combine_load_concat_write,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_s8_combine_load_concat_write,s8_combine_load_concat_write,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,a39f4527_expose_trx_join_filter,expose_trx_join_filter,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,type or runtime error,L2 and L3 cascade,no,Generated Polars expression compares a temporal column with a string and raises before producing output; the oracle succeeds.,genuine migration failure
4,a39f4527_expose_trx_left_join_fill,expose_trx_left_join_fill,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,schema or column-name mismatch,none,no,Main data output agrees but the generated transaction-column contract contains join suffix names whereas the oracle returns the unsuffixed expected names; edge check passes.,genuine migration failure
4,a39f4527_expose_trx_pivot,expose_trx_pivot,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 cascade; L3 independently fails,no,Generated code calls pandas reset_index on a Polars DataFrame; the separate edge path also supplies an unsupported pivot argument.,genuine migration failure
