experiment,snippet_id,primary_layer,top_level_category,automatic_rule_category,final_primary_category,classification_method,downstream_failed_layers,downstream_causal_status,evidence,classification_payload,manual_review_rationale
exp2_reasoning_low_20260810,92e35040_query_appraised,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3,❌ L1 smoke gen_query_appraised: InvalidOperationError: attempted list to_struct on non-list dtype: str,smoke : invalidoperationerror: attempted list to_struct on non-list dtype: str,A list aggregation operation is applied to String data and fails during group_by resolution.
exp2_reasoning_low_20260810,99aff9e0_rename_columns_empty_df,L2,standard behavioural mismatch,schema mismatch,missing one or more steps,manual review override,L3,L3,"❌ L2 equivalence rename_columns_empty_df: MISMATCH — column sets differ (before-only={'end_1', 'chrom_1', 'start_1'}, gen-only={'start', 'end', 'chrom'})","equivalence : mismatch — column sets differ (before-only={'end_1', 'chrom_1', 'start_1'}, gen-only={'start', 'end', 'chrom'})",Generated code creates an empty schema but omits all suffix renaming and unsupported-input validation.
exp2_reasoning_low_20260810,a39f4527_expose_trx_join_filter,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3,"❌ L1 smoke gen_expose_trx_join_filter: InvalidOperationError: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)","smoke : invalidoperationerror: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)",Generated filter compares temporal values with date-column name strings instead of column expressions.
exp2_reasoning_low_20260810,a52cebfe_rft_obs_join,L1,execution failure,type or runtime error,invalid target API usage,manual review override,L2,L2 downstream,❌ L1 smoke gen_rft_obs_join: TypeError: argument 'name': 'int' object cannot be cast as 'str',smoke : typeerror: argument 'name': 'int' object cannot be cast as 'str',Generated code passes an integer realization label to Polars get_column which requires a string column name.
exp2_reasoning_low_20260810,adjacency_create_matrix_loop,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",missing one or more steps,manual review override,,none,❌ L2 equivalence adjacency_create_matrix_loop fp side effect: MISMATCH — DataFrames are different (height (row count) mismatch) | ❌ L2 equivalence adjacency_create_matrix_loop network side effect: MISMATCH — DataFrames are different (height (row count) mismatch),equivalence fp side effect: mismatch — dataframes are different (height (row count) mismatch) | equivalence network side effect: mismatch — dataframes are different (height (row count) mismatch),Generated code rebinds local Polars frames instead of preserving caller-visible fp and network mutations.
exp2_reasoning_low_20260810,adjacency_read_file_to_polars,L2,standard behavioural mismatch,schema mismatch,index or datetime contract mismatch,manual review override,L3,L3 same defect,"❌ L2 equivalence adjacency_read_file_to_polars: MISMATCH — column sets differ (before-only={'id'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'id'}, gen-only=set())",After correcting the gpd fixture both sides execute but generated code drops the id index instead of preserving it explicitly.
exp2_reasoning_low_20260810,e8fa7691_design_matrix_model,L2,standard behavioural mismatch,schema mismatch,index or datetime contract mismatch,manual review override,L3,L3 same defect,"❌ L2 equivalence design_matrix_model: MISMATCH — before={'rows': [['1', '10'], ['2', '20'], ['3', '30']], 'headers': ['run_a', 'run_b', 'run_c']}, gen={'rows': [['1', '10', 'run_a'], ['2', '20', 'run_b'], ['3', '30', 'run_c']], 'headers': ['0', '1', '2']}","equivalence : mismatch — before={'rows': [['1', '10'], ['2', '20'], ['3', '30']], 'headers': ['run_a', 'run_b', 'run_c']}, gen={'rows': [['1', '10', 'run_a'], ['2', '20', 'run_b'], ['3', '30', 'run_c']], 'headers': ['0', '1', '2']}",Generated code treats the preserved pandas index as a data column and replaces index labels with positional headers.
exp2_reasoning_low_20260810,ed3b46c0_base_pattern_iloc,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3 downstream,"❌ L1 smoke gen_base_pattern_iloc: KeyError: ""None of [Index([0, 1, 2], dtype='int64')] are in the [columns]""","smoke : keyerror: ""none of [index([0, 1, 2], dtype='int64')] are in the [columns]""",Generated code replaces positional iloc selection with bracket indexing which selects columns rather than rows.
exp2_reasoning_low_20260810,ed3b46c0_base_pattern_pred_concat,L1,execution failure,invalid target API usage,incomplete runnable code,manual review override,"L2,L3",L2/L3 downstream,"❌ L1 smoke gen_base_pattern_pred_concat: TypeError: Index(...) must be called with a collection of some kind, Ellipsis was passed","smoke : typeerror: index(...) must be called with a collection of some kind, ellipsis was passed",Generated code retains Ellipsis in rename calls and assumes an index column that was not constructed.
exp2_reasoning_low_20260810,ed3b46c0_classification_iloc,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3 downstream,"❌ L1 smoke gen_classification_iloc: KeyError: ""None of [Index([0, 1, 2], dtype='int64')] are in the [columns]""","smoke : keyerror: ""none of [index([0, 1, 2], dtype='int64')] are in the [columns]""",Generated code replaces positional iloc selection with bracket indexing which selects columns rather than rows.
exp2_reasoning_low_20260810,efc0581f_data_assign_bbox,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3 downstream,❌ L1 smoke gen_data_assign_bbox: TypeError: Series constructor called with unsupported type 'int' for the `values` parameter,smoke : typeerror: series constructor called with unsupported type 'int' for the `values` parameter,Generated code constructs Polars Series from scalar integers instead of sequences or literals.
exp2_reasoning_low_20260810,efc0581f_ident_explode_cells,L3,edge-case failure,index-related edge behaviour,dtype-sensitive behaviour,manual review override,,none,"❌ L3 edge ident_explode_cells malformed delimiter: MISMATCH - before returned DataFrame, generated raised ComputeError: get index is out of bounds","edge malformed delimiter: mismatch - before returned dataframe, generated raised computeerror: get index is out of bounds",A malformed one-element nested delimiter is converted to an empty frame by pandas but raises an out-of-bounds Polars ComputeError.
exp2_reasoning_low_20260810,efc0581f_ident_from_dicts_cross,L1,execution failure,type or runtime error,invalid target API usage,manual review override,L2,L2 downstream,"❌ L1 smoke gen_ident_from_dicts_cross: PanicException: assertion failed: matches!(dtype, ArrowDataType::Extension(_))","smoke : panicexception: assertion failed: matches!(dtype, arrowdatatype::extension(_))",Executing the returned closure triggers a Polars panic when List(Object) is used for nested delimiter pairs.
exp2_reasoning_low_20260810,img2table_lines_intersection_formula_migration,L2,standard behavioural mismatch,lazy/eager misuse,return-type mismatch,manual review override,L3,L3 same defect,❌ L2 equivalence img2table_lines_intersection_formula_migration: MISMATCH - generated returned an unresolved Polars Expr,equivalence : mismatch - generated returned an unresolved polars expr,The pandas reference returns concrete Series values while generated code returns an unresolved Polars Expr.
exp2_reasoning_low_20260810,marimo_chdb_cursor_rows,L1,execution failure,type or runtime error,invalid target API usage,manual review override,L2,L2 downstream,"❌ L1 smoke gen_marimo_chdb_cursor_rows: TypeError: unexpected value while building Series of type Int64; found value of type String: ""alpha""","smoke : typeerror: unexpected value while building series of type int64; found value of type string: ""alpha""",Polars DataFrame construction omits row orientation and interprets cursor rows as columns causing mixed-type construction failure.
exp2_reasoning_low_20260810,medmodels_classic_distance_match_migration,L2,standard behavioural mismatch,manual review required,invalid target API usage,manual review override,L3,L3 same defect,"❌ L2 equivalence medmodels_classic_distance_match_migration: MISMATCH — DataFrames are different (value mismatch for column ""age"")","equivalence : mismatch — dataframes are different (value mismatch for column ""age"")",Polars DataFrame construction omits row orientation so matched row values are assigned to the wrong columns.
exp2_reasoning_low_20260810,medmodels_propensity_score_prop_score_migration,L2,standard behavioural mismatch,schema mismatch,wrong logical direction,manual review override,L3,L3 same defect,"❌ L2 equivalence medmodels_propensity_score_prop_score_migration: MISMATCH — column sets differ (before-only=set(), gen-only={'age', 'gender', 'bmi'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'age', 'gender', 'bmi'})",Generated code returns the cleaned control_set instead of the matched_control result returned by the source.
exp2_reasoning_low_20260810,pheval_parse_hgnc_data,L3,edge-case failure,manual review required,dtype-sensitive behaviour,manual review override,,none,❌ L3 pheval_parse_hgnc_data string ids: AssertionError:,string ids: assertionerror:,Polars infers a numeric TSV column before casting and loses the leading zeros that pandas dtype=str preserves.
exp2_reasoning_low_20260810,portfolio_momentum_stoch_osc,L2,standard behavioural mismatch,manual review required,"wrong aggregation, filtering, or join logic",manual review override,,none,"❌ L2 equivalence portfolio_momentum_stoch_osc: MISMATCH — DataFrames are different (value mismatch for column ""stoch"")","equivalence : mismatch — dataframes are different (value mismatch for column ""stoch"")",Against the real ta indicator the generated rolling-window and fill behaviour produces different stochastic oscillator values.
exp2_reasoning_low_20260810,portfolio_stock_from_pandas,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3 downstream,"❌ L1 smoke gen_portfolio_stock_from_pandas: ColumnNotFoundError: ""index"" not found","smoke : columnnotfounderror: ""index"" not found",Generated code assumes include_index creates a column named index but the source history has a named Datetime index.
exp2_reasoning_low_20260810,quant_backtester_calculate_returns_migration,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3 downstream,"❌ L1 smoke gen_quant_backtester_calculate_returns_migration: ColumnNotFoundError: unable to find column ""cumulative_returns""; valid columns: [""positions"", ""asset_returns"", ""strategy_returns""]","smoke : columnnotfounderror: unable to find column ""cumulative_returns""; valid columns: [""positions"", ""asset_returns"", ""strategy_returns""]",A single with_columns call references cumulative_returns while that column is being created in the same expression context.
exp2_reasoning_low_20260810,quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration,L2,standard behavioural mismatch,schema mismatch,index or datetime contract mismatch,manual review override,L3,L3 same defect,"❌ L2 equivalence quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration: MISMATCH — column sets differ (before-only={'index'}, gen-only={'Date'})","equivalence : mismatch — column sets differ (before-only={'index'}, gen-only={'date'})",Generated output replaces the source index contract with a Date column and therefore exposes a different schema.
exp2_reasoning_low_20260810,vnc_cmatrix_reindex,L3,edge-case failure,null- or missing-value handling,dtype-sensitive behaviour,manual review override,,none,❌ L3 branch vnc_cmatrix_reindex valid: TypeError: unexpected value while building Series of type Int64; found value of type Float64: NaN,branch valid: typeerror: unexpected value while building series of type int64; found value of type float64: nan,A valid lookup containing NaN row indices causes strict Int64 Polars Series construction to fail while pandas reindexes it.
