experiment,snippet_id,primary_layer,top_level_category,primary_category,downstream_failed_layers,downstream_causal_status,evidence,classification_payload
baseline,4bb33aa8_trx_stats_isin,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_trx_stats_isin: SyntaxError: generated code for trx_stats_isin is not syntactically valid after wrapper normalization: trailing line continuation,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: trailing line continuation
baseline,6f1c2684_datasets_read_csv,L1,execution failure,lazy/eager misuse,"L2,L3",causal review required,❌ L1 smoke gen_datasets_read_csv: AttributeError: 'Expr' object has no attribute 'columns',smoke : attributeerror: 'expr' object has no attribute 'columns'
baseline,73a39d90_metrics_groupby_agg,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_metrics_groupby_agg: InvalidOperationError: conversion from `str` to `f64` failed in column 'condition' for 2 out of 2 values: [""plaintext"", ""mixed""]","smoke : invalidoperationerror: conversion from `str` to `f64` failed in column 'condition' for 2 out of 2 values: [""plaintext"", ""mixed""]"
baseline,73a39d90_metrics_groupby_partition,L2,standard behavioural mismatch,incorrect condition,L3,causal review required,"❌ L2 equivalence metrics_groupby_partition: MISMATCH — DataFrames are different (value mismatch for column ""condition"")","equivalence : mismatch — dataframes are different (value mismatch for column ""condition"")"
baseline,774f17e7_mane_mappings_genomic_filter,L2,standard behavioural mismatch,return-type mismatch,L3,causal review required,❌ L2 equivalence mane_mappings_genomic_filter: generated returned method instead of records,equivalence : generated returned method instead of records
baseline,8017f91b_eval_hybrid_concat_sort,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_eval_hybrid_concat_sort: DuplicateError: column with name 'index' has more than one occurrence,smoke : duplicateerror: column with name 'index' has more than one occurrence
baseline,8017f91b_input_loc_index_item,L2,standard behavioural mismatch,return-type mismatch,L3,causal review required,"❌ L2 equivalence input_loc_index_item: MISMATCH — before=101, gen=None","equivalence : mismatch — before=101, gen=none"
baseline,8017f91b_pairwise_cosine_loc,L2,standard behavioural mismatch,index or datetime contract mismatch,,none,"❌ L2 equivalence pairwise_cosine_loc: MISMATCH - before={'col_embedding': array([0.4, 0.5, 0.6]), 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': array([0.1, 0.2, 0.3])}, gen={'col_embedding': 102, 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': 101}","equivalence : mismatch - before={'col_embedding': array([0.4, 0.5, 0.6]), 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': array([0.1, 0.2, 0.3])}, gen={'col_embedding': 102, 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': 101}"
baseline,8017f91b_pairwise_loc_filter,L2,standard behavioural mismatch,index or datetime contract mismatch,L3,causal review required,"❌ L2 equivalence pairwise_loc_filter: MISMATCH - before=(['paper_A', 'paper_B'], ['paper_C']), gen=([['paper_A', 'paper_B']], [['paper_C']])","equivalence : mismatch - before=(['paper_a', 'paper_b'], ['paper_c']), gen=([['paper_a', 'paper_b']], [['paper_c']])"
baseline,8017f91b_precompute_cross_join,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,"❌ L2 equivalence precompute_cross_join: MISMATCH — DataFrames are different (value mismatch for column ""scores"")","equivalence : mismatch — dataframes are different (value mismatch for column ""scores"")"
baseline,83c12695_collect_pivot,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_collect_pivot: ColumnNotFoundError: unable to find column ""found_in""; valid columns: [""gene"", ""variable"", ""value""]","smoke : columnnotfounderror: unable to find column ""found_in""; valid columns: [""gene"", ""variable"", ""value""]"
baseline,8bb7bc3a_expose_isin,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_expose_isin: SyntaxError: generated code for expose_isin is not syntactically valid after wrapper normalization: trailing line continuation,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: trailing line continuation
baseline,8c71f3c7_attr_getter_unseen_frame,L1,execution failure,type or runtime error,L2,causal review required,❌ L1 smoke gen_attr_getter_unseen_frame: TypeError: unexpected value while building Series of type Int64; found value of type Float64: 0.9,smoke : typeerror: unexpected value while building series of type int64; found value of type float64: 0.9
baseline,8c71f3c7_citation_models_rank,L3,edge-case failure,ordering stability,,none,"❌ L3 edge citation_models_rank: MISMATCH — DataFrames are different (value mismatch for column ""publication_date_rank"")","edge : mismatch — dataframes are different (value mismatch for column ""publication_date_rank"")"
baseline,8c71f3c7_hybrid_scorer_citation_index,L2,standard behavioural mismatch,index or datetime contract mismatch,,none,"❌ L2 equivalence hybrid_scorer_citation_index: MISMATCH — before=[101, 205, 309], generated=[0, 1, 2]","equivalence : mismatch — before=[101, 205, 309], generated=[0, 1, 2]"
baseline,8c71f3c7_hybrid_scorer_language_index,L2,standard behavioural mismatch,index or datetime contract mismatch,,none,"❌ L2 equivalence hybrid_scorer_language_index: MISMATCH — before=[101, 205, 309], generated=[0, 1, 2]","equivalence : mismatch — before=[101, 205, 309], generated=[0, 1, 2]"
baseline,8c71f3c7_input_converter_index,L2,standard behavioural mismatch,missing one or more steps,,none,"❌ L2 equivalence input_converter_index: MISMATCH — before=101, generated=None","equivalence : mismatch — before=101, generated=none"
baseline,8c71f3c7_pairwise_loc_colname,L2,standard behavioural mismatch,index or datetime contract mismatch,L3,causal review required,"❌ L2 equivalence pairwise_loc_colname captured locals: MISMATCH — before=('paper_A', 'paper_B'), gen=(['paper_A'], ['paper_B'])","equivalence captured locals: mismatch — before=('paper_a', 'paper_b'), gen=(['paper_a'], ['paper_b'])"
baseline,99aff9e0_rename_columns_empty_df,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence rename_columns_empty_df: MISMATCH — column sets differ (before-only={'chrom_1', 'start_1', 'end_1'}, gen-only={'end', 'chrom', 'start'})","equivalence : mismatch — column sets differ (before-only={'chrom_1', 'start_1', 'end_1'}, gen-only={'end', 'chrom', 'start'})"
baseline,a39f4527_expose_trx_join_filter,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_expose_trx_join_filter: InvalidOperationError: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)","smoke : invalidoperationerror: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)"
baseline,a39f4527_expose_trx_pivot,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_expose_trx_pivot: NotImplementedError: snippet has unfixable syntax,smoke : notimplementederror: snippet has unfixable syntax
baseline,a39f4527_expose_trx_unique,L2,standard behavioural mismatch,return-type mismatch,L3,causal review required,"❌ L2 equivalence expose_trx_unique return contract: MISMATCH — before=list, gen=DataFrame","equivalence return contract: mismatch — before=list, gen=dataframe"
baseline,a52cebfe_common_summary_filter,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge common_summary_filter missing key: MISMATCH - before_error=KeyError, gen_error=None","edge missing key: mismatch - before_error=keyerror, gen_error=none"
baseline,a52cebfe_measured_data_pivot_join,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence measured_data_pivot_join labels and values: MISMATCH — column sets differ (before-only={'row'}, gen-only=set())","equivalence labels and values: mismatch — column sets differ (before-only={'row'}, gen-only=set())"
baseline,a52cebfe_rft_concat_write,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge rft_concat_write frame: MISMATCH — column sets differ (before-only={'Iteration', 'Ensemble', 'Well'}, gen-only=set()) | ❌ L3 edge rft_concat_write CSV contents: MISMATCH — before='Realization,Well,Ensemble,Iteration,value\n1,W1,E1,1,5.0\n2,W1,E1,1,6.0\n', gen='Realization,value\n1,5.0\n2,6.0\n'","edge frame: mismatch — column sets differ (before-only={'iteration', 'ensemble', 'well'}, gen-only=set()) | edge csv contents: mismatch — before='realization,well,ensemble,iteration,value\n1,w1,e1,1,5.0\n2,w1,e1,1,6.0\n', gen='realization,value\n1,5.0\n2,6.0\n'"
baseline,a52cebfe_rft_obs_join,L1,execution failure,type or runtime error,L2,causal review required,❌ L1 smoke gen_rft_obs_join: ShapeError: could not create a new DataFrame: height of column 'Pressure' (1) does not match height of column 'TVD' (3),smoke : shapeerror: could not create a new dataframe: height of column 'pressure' (1) does not match height of column 'tvd' (3)
baseline,adjacency_create_matrix_loop,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,❌ L2 equivalence adjacency_create_matrix_loop fp side effect: MISMATCH — DataFrames are different (height (row count) mismatch) | ❌ L2 equivalence adjacency_create_matrix_loop network side effect: MISMATCH — DataFrames are different (height (row count) mismatch),equivalence fp side effect: mismatch — dataframes are different (height (row count) mismatch) | equivalence network side effect: mismatch — dataframes are different (height (row count) mismatch)
baseline,adjacency_read_file_to_polars,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_adjacency_read_file_to_polars: AttributeError: 'DataFrame' object has no attribute 'sort_values',smoke : attributeerror: 'dataframe' object has no attribute 'sort_values'
baseline,bbe5d7e5_datasets_read_csv,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence datasets_read_csv: MISMATCH — column sets differ (before-only=set(), gen-only={''})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={''})"
baseline,db5fc12b_expose_date_str,L3,edge-case failure,dtype-sensitive behaviour,,none,"❌ L3 edge expose_date_str date objects: SchemaError: invalid series dtype: expected `String`, got `date` for series with name ``","edge date objects: schemaerror: invalid series dtype: expected `string`, got `date` for series with name ``"
baseline,dcff23d0_filter_concat_all,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_filter_concat_all: ComputeError: cannot return empty fold because the number of output rows is unknown,smoke : computeerror: cannot return empty fold because the number of output rows is unknown
baseline,e8fa7691_design_matrix_model,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence design_matrix_model: MISMATCH — before={'rows': [['1', '10'], ['2', '20'], ['3', '30']], 'headers': ['run_a', 'run_b', 'run_c']}, gen={'rows': [['1', '10', 'run_a'], ['2', '20', 'run_b'], ['3', '30', 'run_c']], 'headers': ['0', '1', '2']}","equivalence : mismatch — before={'rows': [['1', '10'], ['2', '20'], ['3', '30']], 'headers': ['run_a', 'run_b', 'run_c']}, gen={'rows': [['1', '10', 'run_a'], ['2', '20', 'run_b'], ['3', '30', 'run_c']], 'headers': ['0', '1', '2']}"
baseline,ed3b46c0_base_pattern_pred_concat,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,"❌ L2 equivalence base_pattern_pred_concat: MISMATCH — DataFrames are different (value mismatch for column ""y"")","equivalence : mismatch — dataframes are different (value mismatch for column ""y"")"
baseline,ed3b46c0_classification_pred_concat,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_classification_pred_concat: UnboundLocalError: cannot access local variable 'base_df' where it is not associated with a value,smoke : unboundlocalerror: cannot access local variable 'base_df' where it is not associated with a value
baseline,efc0581f_data_groupby_agg_text,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_data_groupby_agg_text: TypeError: unexpected value while building Series of type String; found value of type Object: <function min at 0x124bb28e0>,smoke : typeerror: unexpected value while building series of type string; found value of type object: <function min at 0x124bb28e0>
baseline,efc0581f_ident_explode_cells,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge ident_explode_cells malformed delimiter: MISMATCH - before returned DataFrame, generated raised ComputeError: get index is out of bounds","edge malformed delimiter: mismatch - before returned dataframe, generated raised computeerror: get index is out of bounds"
baseline,efc0581f_ident_from_dicts_cross,L3,edge-case failure,empty-input handling,,none,❌ L3 branch ident_from_dicts_cross: ComputeError: cannot group_by + apply on empty 'DataFrame',branch : computeerror: cannot group_by + apply on empty 'dataframe'
baseline,img2table_lines_groupby_sum_migration,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,"❌ L2 equivalence img2table_lines_groupby_sum_migration: MISMATCH — DataFrames are different (value mismatch for column ""intersection"")","equivalence : mismatch — dataframes are different (value mismatch for column ""intersection"")"
baseline,marimo_chdb_cursor_rows,L1,execution failure,type or runtime error,L2,causal review required,"❌ L1 smoke gen_marimo_chdb_cursor_rows: TypeError: unexpected value while building Series of type Int64; found value of type String: ""alpha""","smoke : typeerror: unexpected value while building series of type int64; found value of type string: ""alpha"""
baseline,medmodels_propensity_score_prop_score_migration,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence medmodels_propensity_score_prop_score_migration: MISMATCH — column sets differ (before-only=set(), gen-only={'bmi', 'gender', 'age'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'bmi', 'gender', 'age'})"
baseline,portfolio_momentum_roc,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_portfolio_momentum_roc: AttributeError: 'Series' object has no attribute 'alias',smoke : attributeerror: 'series' object has no attribute 'alias'
baseline,portfolio_stock_to_dict,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_portfolio_stock_to_dict: SyntaxError: generated code for portfolio_stock_to_dict is not syntactically valid after wrapper normalization: expected ':',smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: expected ':'
baseline,quant_backtester_calculate_returns_migration,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence quant_backtester_calculate_returns_migration: MISMATCH — column sets differ (before-only={'index'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'index'}, gen-only=set())"
baseline,quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration: MISMATCH — column sets differ (before-only={'index'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'index'}, gen-only=set())"
baseline,ultralytics_wb_custom_table,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_ultralytics_wb_custom_table: AttributeError: 'DataFrame' object has no attribute 'round',smoke : attributeerror: 'dataframe' object has no attribute 'round'
baseline,vnc_cmatrix_reindex,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge vnc_cmatrix_reindex valid: MISMATCH — DataFrames are different (value mismatch for column ""row_index"")","edge valid: mismatch — dataframes are different (value mismatch for column ""row_index"")"
